Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Graha Irama,5,pelauanan cepat dan lanagi,2
Bank Mandiri KCP Jakarta Graha Irama,5,"pelayanan cepat dan tanggap, ruangan tunggunya bagus, dan nyaman",2
Bank Mandiri KCP Jakarta Graha Irama,5,tempatnya bagus dan pelayanan nya ramah,2
Bank Mandiri KCP Jakarta Graha Irama,5,"pelayanan nya bagus, pegawai nya ramah the best",2
Bank Mandiri KCP Jakarta Graha Irama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Irama,5,"pelayanan nya oke, bagus, ramah",2
Bank Mandiri KCP Jakarta Graha Irama,5,"pelayanan bagus, ramah kepada nasabah.",2
Bank Mandiri KCP Jakarta Graha Irama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Irama,5,semua karyawan bank memberikan pelayanan yang baik dan memuaskan. suasana nyaman dan bersih.,2
Bank Mandiri KCP Jakarta Graha Irama,5,pelayanannya sangat bagus,2
Bank Mandiri KCP Jakarta Graha Irama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Irama,3,enggak ontime datang jam 8 masih tutup,1
Bank Mandiri KCP Jakarta Graha Irama,5,"teller sangat rama dan baik dalam melayani, .. murah senyum dan santun dalam menyelesaikan transaksi.",2
Bank Mandiri KCP Jakarta Graha Irama,5,staffnya very helpful and nice tellernya juga ramah semua,2
Bank Mandiri KCP Jakarta Graha Irama,5,"pelayanan terbaik, cs dan teller ramah. satpam ramah dan membantu.",2
Bank Mandiri KCP Jakarta Graha Irama,5,tellernya sangat membantu. terimakasih ya,2
Bank Mandiri KCP Jakarta Graha Irama,5,cabangnya bersih dan nyaman ternyata. pertahankan ya,2
Bank Mandiri KCP Jakarta Graha Irama,5,"satpam baik, bisa bantu jelasin. terimakasih pelayanannya",2
Bank Mandiri KCP Jakarta Graha Irama,5,pelayanan yang ramah dan cepat..,2
Bank Mandiri KCP Jakarta Graha Irama,5,"pegawai sangat menginformasikanif, seingga nasabah basantu dengan baik.",2
Bank Mandiri KCP Jakarta Graha Irama,5,"pelayanannya bagus, cepat dan tempatnya nyaman",2
Bank Mandiri KCP Jakarta Graha Irama,5,pelayanan baik dan membuat nasabah nyaman. keren bank mandiri..,2
Bank Mandiri KCP Jakarta Graha Irama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Irama,5,"pelayanan yang ramah, sabar dan menyenangkan",2
Bank Mandiri KCP Jakarta Graha Irama,5,"staf yang ramah dan berpengetahuan, selalu bersedia untuk membantu dengan pertanyaan apapun.",2
Bank Mandiri KCP Jakarta Graha Irama,5,teller ramah,2
Bank Mandiri KCP Jakarta Graha Irama,5,"pelayanan nya bagus sekali,pegawai nya ramah,banking hall nyaman, security nya baik dan sopan,mandiri graha irama the best",2
Bank Mandiri KCP Jakarta Graha Irama,5,"tempat yang bagus dan nyaman untuk bertransaksi, semua pegawai ramah dan cekatan, good tim mandiri",2
Bank Mandiri KCP Jakarta Graha Irama,5,cabang nya bersih dan ramah staff nya,2
Bank Mandiri KCP Jakarta Graha Irama,5,pelayanan nya ramah banget sukses terus mandiri jakarta graha irama,2
Bank Mandiri KCP Jakarta Graha Irama,5,"pelayanan teller sangat cepat & pegawainya ramah, sangat recommended",2
Bank Mandiri KCP Jakarta Graha Irama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Irama,5,"cabang nya sejuk dan nyaman, serta teller nya cepat",2
Bank Mandiri KCP Jakarta Graha Irama,5,senang dengan cabang yang bersih dan orang nya ramah ramah,2
Bank Mandiri KCP Jakarta Graha Irama,5,pelayanannya sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Graha Irama,5,staf yang ramah,2
Bank Mandiri KCP Jakarta Graha Irama,5,terima ksi pelayanannya bank mandiri,2
Bank Mandiri KCP Jakarta Graha Irama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Irama,5,pendekatan dan pelayanan yang baik,2
Bank Mandiri KCP Jakarta Graha Irama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Irama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Irama,1,pelayanan sangat lama banget mau tarik tunai saja repot disini cabang lain tidak seperti cabang lain mohon pelayanan di starakan cabang lain,0
Bank Mandiri KCP Jakarta Graha Irama,1,"bad service, lama banget, saya batalkan untuk ganti kartu, sudah hampir 45 menit, tidak dipanggil dan semua cs sibuk sendiri. pada telp telp nan semua..",0
Bank Mandiri KCP Jakarta Graha Irama,5,layanannya sangat baik,2
Bank Mandiri KCP Jakarta Graha Irama,5,"kondisi cabangnya bersih, harum dan nyaman",2
Bank Mandiri KCP Jakarta Graha Irama,5,pegawainya ramah dan cantik. apalagi teller-tellernya. pelayanannya mantap banget. yang butuh jasa bank sekitaran graha irama bisa langsung berkunjung ya ke mandiri graha irama. recommended,2
Bank Mandiri KCP Jakarta Graha Irama,5,good job!,2
Bank Mandiri KCP Jakarta Graha Irama,5,bagus nyaman,2
Bank Mandiri KCP Jakarta Graha Irama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Irama,5,pelayanan nya bagus dan ramah,2
Bank Mandiri KCP Jakarta Graha Irama,1,teller lamban sekali,0
Bank Mandiri KCP Jakarta Graha Irama,5,layanan yang sangat baik,2
Bank Mandiri KCP Jakarta Graha Irama,5,nice,2
Bank Mandiri KCP Jakarta Graha Irama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Irama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Irama,1,"bank dengan pelayanan lama, buruk bgt, tanpa inisiatif dari 4 meja, hanya ada 1 teller, antrian 1 transaksi butuh 1 jam",0
