Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Graha Mampang,5,"sangat bagus, ramah cs nya",2
Bank Mandiri KCP Jakarta Graha Mampang,5,"cabangnya bersih dan pelayanan cepat. cs ramah banget, terutama mbak faras ayu",2
Bank Mandiri KCP Jakarta Graha Mampang,5,"tempatnya nyaman, pelayanannya baik mulai dari security sampai staff lainnya, terlebih mbak mbak cs nya helpfull dan ramah banget. best pokonyaa",2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,layanan cepat dan profesional,2
Bank Mandiri KCP Jakarta Graha Mampang,1,no telp dihubungi tapi tidak diangkat.,0
Bank Mandiri KCP Jakarta Graha Mampang,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,baik penampil semua kru & helpingl..,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,patut dapat bintang,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,"pelayanan ramah ,baik dan sangat membantu terimakasih , mbak mbak cs nya senyumnya ramah",2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,pelayanannya baik,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,pegawai ramah,2
Bank Mandiri KCP Jakarta Graha Mampang,5,mantap,2
Bank Mandiri KCP Jakarta Graha Mampang,5,"pelayanannya bagus, ramah, kantornya bagus",2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat ramah pelayanan dan cepat,2
Bank Mandiri KCP Jakarta Graha Mampang,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Graha Mampang,5,ramah dan pelayanan yang baik,2
Bank Mandiri KCP Jakarta Graha Mampang,5,"ramah,baik.",2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,"pelayanan memuaskan,",2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,cs baik dan ramah,2
Bank Mandiri KCP Jakarta Graha Mampang,5,kantor cabang yang nyaman dan pelayanan cepat. bintang 5,2
Bank Mandiri KCP Jakarta Graha Mampang,1,pelayanannya kurang bagus mohon maaf ya,0
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,good,2
Bank Mandiri KCP Jakarta Graha Mampang,5,"terima kasih kepada staff yang sudah memberikan layanan terbaik. staff ramah dan baik, serta cekatan dalam membantu pelanggan dengan berbagai kesulitan. semoga dapat dipertahankan dan menjadi lebih baik.",2
Bank Mandiri KCP Jakarta Graha Mampang,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,karyawan di cabang ini sangat ramah dan membantu nasabah,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,pelayanan sangat ramah.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,pelayanannya memuaskan,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,"pelayanan ramah,cepat tanggap semoga selalu menjadi yang terdepan",2
Bank Mandiri KCP Jakarta Graha Mampang,5,mantap,2
Bank Mandiri KCP Jakarta Graha Mampang,5,pelayanan amat baik,2
Bank Mandiri KCP Jakarta Graha Mampang,5,pelayanannya baik,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,pelayanannya cepat dan ramah. para staff senantiasa memberikan solusi yang tepat untuk kebutuhan financial saya,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,"nyaman, dan bagus pelayanan nya",2
Bank Mandiri KCP Jakarta Graha Mampang,5,pelayanan bagus dan tempat bersih,2
Bank Mandiri KCP Jakarta Graha Mampang,5,"pelayanannya bagus, ramah, bersih",2
Bank Mandiri KCP Jakarta Graha Mampang,5,oke banget,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,pelayanan bagus dan baik,2
Bank Mandiri KCP Jakarta Graha Mampang,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,layanan dan komunikasi yang sopan kepada nasabah,2
Bank Mandiri KCP Jakarta Graha Mampang,5,"security nya ganteng banget, pelayanan di cabang ini ok banget",2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,bagus sekali pelayan sesuai antrian dan cepat,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
