Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Graha Rekso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Rekso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Rekso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Rekso,5,pelayanan mantap .cepat .terimakasih,2
Bank Mandiri KCP Jakarta Graha Rekso,5,"security mantap,ramah cabang nya bersih pelayanan luar biasa",2
Bank Mandiri KCP Jakarta Graha Rekso,5,cabang nyaman bersih pelayanan ramah..,2
Bank Mandiri KCP Jakarta Graha Rekso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Rekso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Rekso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Rekso,5,"pelayanan yang sangat ramah, dan responsif",2
Bank Mandiri KCP Jakarta Graha Rekso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Rekso,5,"baik bagus,cepat ramah.",2
Bank Mandiri KCP Jakarta Graha Rekso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Rekso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Rekso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Rekso,5,teller & csnya baik-baik banget,2
Bank Mandiri KCP Jakarta Graha Rekso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Rekso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Rekso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Rekso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Rekso,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha Rekso,5,sangat puas dengan pelayanan yang diberikan.,2
