Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Grand Indonesia,5,"baik ,memuaskan",2
Bank Mandiri KCP Jakarta Grand Indonesia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,hari ini aku mengganti kartu penjaga keamanan dan staf sangat ramah dan sangat membantu terima kasih,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,mbak cs nya ramah banget pelayanan cepat enggak perlu isi isi formulir debeslahh,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,sangat nyaman bertransaksi disini,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,bank dan karyawan yang baik,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,"pembukaan rekening menggunakan crm sangat cepat, pelayanannya sangat puas, securitynya sangat ramah",2
Bank Mandiri KCP Jakarta Grand Indonesia,1,"saya hari ini tf ke mandiri bayar enggak bisa hadir tanda tangan saya enggak punya uang saya membela tf 200 ternyata suruh byr 400 sudah saya bingung dan pinjam uang 200 giliran saya tf ternyata ada kesalahan lg,trus bilang saya dapat toleran boleh byr 50",0
Bank Mandiri KCP Jakarta Grand Indonesia,5,"teller nya cepat, ramah.",2
Bank Mandiri KCP Jakarta Grand Indonesia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,untuk head teller nya sangat luar biasa ramahnya. saya sangat terbantu dengan beliau. sehat selalu karyawan mandiri.,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,cs nya ramah n baik2..,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,tellernya cepat dan ramah. satu2nya bank yang mengasih tukeran uang untuk tenant. baik bgt.,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,menyala wi layananya bagus cepat dan ramah tamah,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,untuk pelayanan teler dan cs lebih cepat dan praktis apa lagi security nya ramah ramah,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,telernya ramah scurty sopan,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,pelayanan nya mantap cs fast respon teller ramah cabang nya besih dan rapi,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,bagus pelayanan nya,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,kerenn enggak menulis nulis.. digitalisasi,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,sangat membantu dan humble,2
Bank Mandiri KCP Jakarta Grand Indonesia,1,"kantornya ditelpon enggak pernah diangkat. permohonan kartu debit cobrand enggak jelas kabarnya, info di awal selesai di 2 minggu dan bakal dikabarin tapi sudah 2 minggu lebih enggak ada kabar. telp cabang enggak diangkat, komplain ke socmed bank",0
Bank Mandiri KCP Jakarta Grand Indonesia,5,"pelayanan disini top banget, ramah2 pegawainya",2
Bank Mandiri KCP Jakarta Grand Indonesia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,rama & rendah hati,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,"pelayanan memuaskan sekali ,tidak pernah mengecewakan ,selalu di sambut dengan ramah oleh teller ,good service untuk teller nya",2
Bank Mandiri KCP Jakarta Grand Indonesia,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,staf bank mandiri gi ramah dan helpful!,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,"service excellent, terima kasih banyak ibu neneg ubaidah sudah bantu saya saat urgent yang saya butuhkan. its very helpfull and easy tapi do, sok you are the best!",2
Bank Mandiri KCP Jakarta Grand Indonesia,5,pelayanannya sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,"bersih , rapih, tellernya ramah2 ,good",2
Bank Mandiri KCP Jakarta Grand Indonesia,5,pelayanan yang baik dan suasana yang baik.,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,dabest dan fast respon pelayanan,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,"pelayanannya cepatt, karyawannya humble dan ramah ramah, ruangannya bersih dan rapi, kalo ada bintang 100 saya kasih bintang 100 nih",2
Bank Mandiri KCP Jakarta Grand Indonesia,5,pelayanan sangat bagus fast respon cs dan teller baik baik menjelaskan pun sangat bagus dan enak.,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,"pelayanan sangat ramah baik cs maupun teller, sangat membantu customer.",2
Bank Mandiri KCP Jakarta Grand Indonesia,5,"pelayanan cepat, pegawainya friendly",2
Bank Mandiri KCP Jakarta Grand Indonesia,5,pelayanannya baik dan cepat. fiturnya mudah dipahami,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,mesin ganti kartu sangat membantu,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,"pelayanan bagus, cepat dalam melayani nasabah. dibantu sama mbak rina, helpfull dan ramah.",2
Bank Mandiri KCP Jakarta Grand Indonesia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,"semua karyawannya ramah, pelayanannya cepat kilat ..",2
Bank Mandiri KCP Jakarta Grand Indonesia,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,bersih,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,bank mandiri cabang grand indonesia cs ramah terimakasih kaa,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,cs nya ramah. bank mandiri oke,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,suasana yang bagus.,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,terbaik deh,2
Bank Mandiri KCP Jakarta Grand Indonesia,5,pelayanan nya sangat ramah,2
Bank Mandiri KCP Jakarta Grand Indonesia,1,"membuang-buang waktu, sangat lama mengantri 20 menit, palahal enggak ada nasabah iain.",0
