Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,proses cepat dan ringkas,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,saya ingin mengucapkan terima kasih yang tulus kepada bu elsa vitria atas bantuannya yang luar biasa!,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,"pelayanan prima, terima kasih bank mandiri",2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,"pelayanan nya ramah, baik",2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,"mbak mutiara cepat banget ngelayaninnya, top markotop",2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,pelayanan terbaik baik dan sopan,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,keamanan ramah rapi sopan santun,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,pelayanan baik dan ramah..,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,terbaik,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,"pelayanannya ok bgt, apa lagi di tambabah mas erents yang bantu bgt.",2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,oke cukup memuaskan,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,"staff bank yang ramah, pelayanan bagus",2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,pelayanan nya sangat bagus,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,"pelayanan luar biasa , pegawainya dari security ,cs,teller sangat membantu",2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,security nya ramah,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,teller nya cepat melayani,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,"security nya ramah""",2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,pelayanannya cepat dan tanggap,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,pelayanannya baik dan cepat,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,pelayanan memuaskan dan ramah semua,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,"petugas ramah, cepat tanggap.",2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,"tellernya sangat membantu saya, terima kasih banyak, tetap di pertahankan",2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,"respon cepat, ramah2",2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,"best banget bank mandiri, pelayanannya oke banget",2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,"pelayanan nya oke banget, teller nya cepat dan ramah. trmkasih",2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,"pelayanan terhadap nasabah cepat, teller cs security ramah dalam menyambut nasabah, cabang bersih nyaman",2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,"the best service,karyawanya semua the best ,top abis",2
Bank Mandiri KCP Jakarta Grand Slipi Tower,5,terima kasih atas pelayanannya yang ramah dan super cepat,2
