Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Grand Wijaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,pelayannya sangat memuaskan,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,terima kasih atas layanannya.,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,"pelayanan nya ramah, cepat , dan solutif",2
Bank Mandiri KCP Jakarta Grand Wijaya,5,cs dan tellernya ramah ramah,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,terima kasih atas pelayanan yang bagus,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,terimakasih untuk pelayanan yang baik sukses dan sehat selalu,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,"kantornya wangi, bersih, karyawannya ramah, pelayanannya cepat",2
Bank Mandiri KCP Jakarta Grand Wijaya,5,"kantornya wangi, bersih, karyawannya ramah, pelayanannya cepat",2
Bank Mandiri KCP Jakarta Grand Wijaya,5,"good experience, pelayanan ramah, tanggap dan cepat",2
Bank Mandiri KCP Jakarta Grand Wijaya,5,"sejuk, dingin dan ramah",2
Bank Mandiri KCP Jakarta Grand Wijaya,5,"pegawainya ramah-ramah, kantornya bersih dan bagus serta pelayanannya baik sehingga nasabah nyaman bertransaksi di sini.",2
Bank Mandiri KCP Jakarta Grand Wijaya,5,"pelayan sangat baik, bank nya bersih dan wangi",2
Bank Mandiri KCP Jakarta Grand Wijaya,5,layanan besar,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,pelayanan nya oke dan cepat,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,"pelayanan baik,, karyawannya ramah,",2
Bank Mandiri KCP Jakarta Grand Wijaya,5,pelayanan bagus dan cepat,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,"kantornya bagus, selalu bersih terutama pelayanannya yang sangat memuaskan",2
Bank Mandiri KCP Jakarta Grand Wijaya,5,pelayananan nya baik & ramah those.,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,"pelayanan nya sangat baik, dan ramah terhadap customer, area kantor juga bersih dan rapih,",2
Bank Mandiri KCP Jakarta Grand Wijaya,5,pelayanan baik.cepat dan ramah ramah,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,keren.selalu dilayani dengan baik dan memuaskan. sukses selalu .,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,pelayanan top markotop kantornya bagus,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,pelayannya sangat memuaskan setiap transaksi selalu lancar,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,"pertama kesini pelayanannya sangat baik dan ramah, mudah dipahami penjelasan dari pihak bank",2
Bank Mandiri KCP Jakarta Grand Wijaya,5,"pelayanan baik karyawan ramah kantor rapi, bersih dan wangi",2
Bank Mandiri KCP Jakarta Grand Wijaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,pelayanan nya sangat baik sekali,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,"orang yang rendah hati dan baik semua anggota di bank ini, semoga beruntung!",2
Bank Mandiri KCP Jakarta Grand Wijaya,5,"pelayanannya the best, selalu senang tiap transaksi disini",2
Bank Mandiri KCP Jakarta Grand Wijaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grand Wijaya,5,"cs, teller, security dan staffnya ramah, baik, dan sangat membantu dalam pelayanan apapun",2
