Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Griya Inti Sentosa,5,ramah,2
Bank Mandiri KCP Jakarta Griya Inti Sentosa,5,"pelayanan ok, ramah dan cepat",2
Bank Mandiri KCP Jakarta Griya Inti Sentosa,5,"untuk pelayananya sangat memuaskan. mau buka rekening dan lain lain sangat di bantu , apalagi oleh scurity nya , sabar banget bantuin nasabah, teller dan cs nya juga baik baik dan ramah.",2
Bank Mandiri KCP Jakarta Griya Inti Sentosa,5,pelayanan ramah dan proses cepat,2
Bank Mandiri KCP Jakarta Griya Inti Sentosa,5,"pelayanan baik sekali, ramah the best",2
Bank Mandiri KCP Jakarta Griya Inti Sentosa,5,"staf nya baik2, satpam nya juga oke banget membantu pelanggan banget buat buat buka rek",2
Bank Mandiri KCP Jakarta Griya Inti Sentosa,5,pelayanan memuaskan dan ramah penyapian,2
Bank Mandiri KCP Jakarta Griya Inti Sentosa,5,"pelayanan seluruh staf (security, teller, dll) sangat ramah, penjelasannya detail, mudah dimengerti dan sangat membantu",2
Bank Mandiri KCP Jakarta Griya Inti Sentosa,5,"pembukaan rekening di bantu dengan cepat,mudah. pelayanan prima, mantap cabang mandiri gis",2
Bank Mandiri KCP Jakarta Griya Inti Sentosa,5,"pelayanan baik staff yang kerja disini sangat ramah,mantull",2
Bank Mandiri KCP Jakarta Griya Inti Sentosa,5,mbak nya ramah dan satpam yang namanya satpam nama ardi juga ramah dan baik,2
Bank Mandiri KCP Jakarta Griya Inti Sentosa,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Griya Inti Sentosa,5,bapak nya baik dan mbaknya terima kasih sudah di bantu,2
Bank Mandiri KCP Jakarta Griya Inti Sentosa,5,"teller ramah,dan cepat",2
Bank Mandiri KCP Jakarta Griya Inti Sentosa,5,"pelayanannya bagus dan staffnya baik , pembukaan rekening cepat",2
Bank Mandiri KCP Jakarta Griya Inti Sentosa,5,sangat ramah dan membantu,2
Bank Mandiri KCP Jakarta Griya Inti Sentosa,5,"pelayanannya sangat tanggap dan baik,ramah dan siap siaga membantu nasabah lama atau baru dalam transaksi atau pembuatan rekening baru.",2
