Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Grogol Muwardi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,pelauyanan sangat baik,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,cepat ramah,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,cepat,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,"tempatnya cozy, pelayanan oke banget , staff nya ramahh poll di bantuin sampai selesai , penjelasannya mudah di mengerti . sukses selalu!",2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,pelayanannya cepat dan memberikan solusi,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,terimakasih sudah dibantu buka rekening,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,layanan cepat..memuaskan sekali,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,terima kasih sudah dibantu buka rekening,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,baik,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,baik-baik,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,pelayanan bagus dan sangat ramah,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,disarankan pelayanan,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,pelayanan nya memuaskan terbaik,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,tks bank mandiri grogol untuk layananya,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,nyaman,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,pelayanan nyaman dan ruangan bersih,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,pelayanan baik-baik saja,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,kasirnya gesit..ramah.,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,pelayanannya cepat dan ramah,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,cabangnya bersih,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,pelayanan bagus lebih mudah,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,pelayannya memuaskan sekali,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,"pelayanan nya ramah, ruangan nya luas",2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,ramah dan cepat,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,nyaman,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Grogol Muwardi,5,sangat puas dengan pelayanan yang diberikan.,2
