Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Gunung Sahari,5,profesional dan membantu.,2
Bank Mandiri KCP Jakarta Gunung Sahari,5,saya informatif dan sangat baik untuk ibu wati,2
Bank Mandiri KCP Jakarta Gunung Sahari,1,security dan customer service tidak ada koordinasi nya sama sekali.,0
Bank Mandiri KCP Jakarta Gunung Sahari,5,pelayanannya baik,2
Bank Mandiri KCP Jakarta Gunung Sahari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gunung Sahari,2,parah sih ngegampangin telponan mulu citra,0
Bank Mandiri KCP Jakarta Gunung Sahari,5,"bank mandiri di cabang ini ramah sekali , penanganan masalah pun cepat, cs nya membantu banget dan ramah",2
Bank Mandiri KCP Jakarta Gunung Sahari,5,"bu citra hati-hati dengan pelanggan yang kebingungan langsung cepat di menangani, selalu mengajak mengobrol disa sela sedang menangani pelanggan, ramah, sangat baik menangani .",2
Bank Mandiri KCP Jakarta Gunung Sahari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gunung Sahari,5,pegawainya pada ramah. serius sangat membantu,2
Bank Mandiri KCP Jakarta Gunung Sahari,5,pelayanan yang sangat baik,2
Bank Mandiri KCP Jakarta Gunung Sahari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gunung Sahari,5,min. bisa meminta kontak marketing ksm ga?,2
Bank Mandiri KCP Jakarta Gunung Sahari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gunung Sahari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gunung Sahari,1,susah banget siditlpnya,0
Bank Mandiri KCP Jakarta Gunung Sahari,5,semua petugas nya ramah ramah,2
Bank Mandiri KCP Jakarta Gunung Sahari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gunung Sahari,5,"terbantu sekali dengan pelayanan di sini.. securitynya gercep, cs nya juga sangat membantu sekali.. ter luv luv pokoknya",2
Bank Mandiri KCP Jakarta Gunung Sahari,1,"sangat kecewa, pelayanan buruk dan lambat.",0
