Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Hayam Wuruk,5,mbak tellernya cantik dan ramah,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,rama ramah orangnya,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,"pelayanan luar biasa, sopan dan sigap melayani nasabah",2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,biasa luar pelayanan,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,pelayanannya ramah & cepat tanggap bila ada kendala & masalah2 dalam proses perbankan. maju terus bank mandiri hayam wuruk..,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,"balai perbankan luas, ac dinin, teller cekatan",2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,pelayananramah dan tempat nya sangat nyaman,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,tempatnya bersih dan pelayanan nya good,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,top banget cs dan teller nya ok,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,"keamanan pelayanan, pelayanan pelanggan dan teller sinya sangat bagous",2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,pelayanan baik memuaskan,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,pelayanannya sangat memuaskan,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,pelayanya ramah dan sopan,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,pelayanan nya sangat baik dan ramah ramah,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,pelayanan nya baik & nyaman,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,transaksi di mandiri hayam wuruk pelayanan sangat memuasan terutama teller canggih pisan,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,"semua staffnya baik,ramah,dan murah senyum.jadi betah di bank mandiri",2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,semua nya ok,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,pelayanannyaa baik teller nya ramah ramah dann cantik cantik..,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,teller nya baik banget sangat membantu terus dipertahankan ya,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,"pelayanan super cepat, tellernyaa ramah2, mantap deh pokok nya",2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,"pelayanannya baik dan sangat ramah sekali cs, teller, hingga security nya..",2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,pelayanannya ramah dan komunikatif sekali,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,"tempatnya enak, parkir gratis teller nya ramah",2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,"memuaskan, pelayanannya bagus. pokoknya toplah.menyala bank ku",2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,pelayanannya baik telernya ramaah,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,pelayanan nya sangat baik,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,pelayanan cepat tannggap. ramah. ruangan kantor nyaman,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,luar biasa pelayanannya,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,menyala teler ku.,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,"sangat ramah, kasih informasi juga",2
Bank Mandiri KCP Jakarta Hayam Wuruk,5,pelayanan nya baik cepat tempatnya enak,2
