Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Hutama Karya,5,pelayanan bagus pembuatan rekening online,2
Bank Mandiri KCP Jakarta Hutama Karya,5,"pelayanan cepat, staffnya ramah dan membantu",2
Bank Mandiri KCP Jakarta Hutama Karya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Hutama Karya,5,pelayanan buka rekening online nya cepat,2
Bank Mandiri KCP Jakarta Hutama Karya,5,"pelayananyabagus, buka rekening online cepat",2
Bank Mandiri KCP Jakarta Hutama Karya,5,"pelayanannya bagus, cepat untuk buka rekening online",2
Bank Mandiri KCP Jakarta Hutama Karya,5,pelayanannya sangat ramah dan sangat profesional,2
Bank Mandiri KCP Jakarta Hutama Karya,5,"kacab, tim cs, teller, dan security semuanya ramah dan sopan santun dalam melayani nasabah. memberikan pelayanan terbaik kepada nasabah. tidak memandang nasabah dengan rekening gendut ataupun bokek semua diberikan layanan terbaik. terima kasih banyak untuk semuanya di bank mandiri kcp jakarta hutama karya.",2
Bank Mandiri KCP Jakarta Hutama Karya,5,sangat ramah cepat dan jelas,2
Bank Mandiri KCP Jakarta Hutama Karya,5,"terletak di lantai mezanine gedung hk tower, kcp ini langsung kelihatan begitu eskalator sampai di mezanine. keramahan langsung terasa saat bertemu pak satpam hingga kakak cs dan teller-nya.",2
Bank Mandiri KCP Jakarta Hutama Karya,5,"pelayanannya baik teler dan cs nya ramah , security nya juga baik untuk pelayanan dan penyambutan nya",2
Bank Mandiri KCP Jakarta Hutama Karya,5,"cs sangat membantu, pelayanan mantap",2
Bank Mandiri KCP Jakarta Hutama Karya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Hutama Karya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Hutama Karya,5,"satpam nya ramah, cs teller juga cepat .",2
Bank Mandiri KCP Jakarta Hutama Karya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Hutama Karya,5,teller layanan sangat ramah dan cepat.,2
Bank Mandiri KCP Jakarta Hutama Karya,5,"terima kasih bank mandiri hk, cs-nya ramah-ramah, pelayanan baik.",2
Bank Mandiri KCP Jakarta Hutama Karya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Hutama Karya,5,"cs cantik dan endut, kacab nya baik dan ramah, pelayanan ramah, baik dan tepat waktu. pokoknya asyik deh .",2
