Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta IMERI,5,"ruangan bersih, pelayanan ramah dan cepat",2
Bank Mandiri KCP Jakarta IMERI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta IMERI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta IMERI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta IMERI,5,securiti nya ramah dan baik,2
Bank Mandiri KCP Jakarta IMERI,5,terbaikj,2
Bank Mandiri KCP Jakarta IMERI,5,csnya ramah dan cepat,2
Bank Mandiri KCP Jakarta IMERI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta IMERI,5,"capang yaman, petugas oke",2
Bank Mandiri KCP Jakarta IMERI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta IMERI,5,pelayanan sangat baik dan ramah,2
Bank Mandiri KCP Jakarta IMERI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta IMERI,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta IMERI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta IMERI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta IMERI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta IMERI,5,bank mandiri dengan pelayanan terbaik dan paling ramah,2
