Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta ITC Fatmawati,1,"mesin atmnya error. saya setor tunai saldo saya ketahan di mesin tersebut. tapi, tidak ada transaksi yang masuk di rekening saya. sudah hubungi call center tapi butuh 8 hari kerja. padahal, saya butuh transaksi uang tersebut secara cepat.",0
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,good,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,1,pelayanan buruk dan super lambat!,0
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,bagus pelayanan,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,pelayanan kredit kurnya bagus,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,"pelayanannya baik, ramah, murah senyum",2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,tempatnya nyaman dan ramah ramah semuanya,2
Bank Mandiri KCP Jakarta ITC Fatmawati,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,"cabangnya bagus, bersih dan wangi",2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,nyaman. baik,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,pelayanannya baik,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,ok fix,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,"pelayanan ramah, cepat tanggap dan komunikatif",2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,"cabangnya bagus, cozy banget ruangannya, acnya dingin, pelayanan cs dan tellernya ramah, ganti atm cepat banget cuma semenit.. good job!",2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,pelayanan sangat luar biasa dan cabangnya bersih,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,"tellernya sangat ramah, susana cabang sangat nyaman",2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Fatmawati,5,sangat puas dengan pelayanan yang diberikan.,2
