Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,pelayanan nya sangat baik ?,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,pelayanan baik dan memuaskan,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,[ gambar di hlm.,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,"memuaskan,pelayanan ramah",2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,pelayanan nya bagus cepat semua nya bagus dan baik. suskes selalu bank mandiri itc mangga dua,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,pelayanannya cepat dan memuaskan,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,pelayanannya best banget,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,mudah digunakan,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,mantap pokoknya,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,pelayanan nya bagus dan sangat ramah,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,"servis baik, pelayanan bagus. pegawai ramah dan manis.",2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,"security nya pada baik banget, cepat dan tanggap juga, pelayanan nya sangat memuaskan",2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,pelayanan bagus dan cepet,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,"untuk pelayanan securitynya sangat proffesional dalam melayani nasabah, ramah, cepat",2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,securitynya baik & ramah dalam melayani nasabah.,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,satpamnya ramah tamah,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,transaksi nya cepat dan memuaskan,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,"cabang ini sudah ebranch , mempermudah untuk bertransaksi, sudah paperless, ramah dalam pelayanan, top of the top mandiri itc mangga dua,",2
Bank Mandiri KCP Jakarta ITC Mangga Dua,1,"pelayanan ya sangat lama sudah menunggu sejam tapi tidak direspon, malah orang lain yang diduluin karena sudah sering kesitu, seharusnya dimana mana orang yang datang duluan didahulukan tapi ini tidak bagus memang teller ya cuman satu tapi hargain orang yang datang duluan tolong dihargai, tolong dievaluasi lagi",0
Bank Mandiri KCP Jakarta ITC Mangga Dua,1,"tellernya buset enggak niat kerja ya? jutek amat, meminta ganti buku suruh menunggu sampai sore tidak ada kabarnya, menjijikan sekali anda.",0
Bank Mandiri KCP Jakarta ITC Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
