Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta International Expo Kemayoran,5,"pelayanan nya ramah, security nya sangat membantu kalo ada yang gatau. staff bank nya juga gercep pokoknya very helpfull",2
Bank Mandiri KCP Jakarta International Expo Kemayoran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta International Expo Kemayoran,5,terbaik,2
Bank Mandiri KCP Jakarta International Expo Kemayoran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta International Expo Kemayoran,5,mantap lah pokokya.. good,2
Bank Mandiri KCP Jakarta International Expo Kemayoran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta International Expo Kemayoran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta International Expo Kemayoran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta International Expo Kemayoran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta International Expo Kemayoran,5,"pelayanan ramah, transaksi cepat",2
Bank Mandiri KCP Jakarta International Expo Kemayoran,5,sangat puas dengan pelayanan yang diberikan.,2
