Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Intiland Tower,1,"hai, bank mandiri cabang intiland. saya ingin rekomendasi untuk menambah satu personil customer service lagi karena waktu tunggu terlalu lama. saya ambil nomor pada pukul 12:03. saat itu, customer service sedang melayani nomor antrian u004.",0
Bank Mandiri KCP Jakarta Intiland Tower,5,"pelayanannya oke bgt, ramah, dan semua masalah teratasi dengan baik",2
Bank Mandiri KCP Jakarta Intiland Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Intiland Tower,5,tellernya baik dan ramah,2
Bank Mandiri KCP Jakarta Intiland Tower,5,tellernya baik dan ramah ramah,2
Bank Mandiri KCP Jakarta Intiland Tower,5,"pelayanan cepat, teller ramah, tempat nyaman.",2
Bank Mandiri KCP Jakarta Intiland Tower,5,"pelayanan oke, frontliner gesit",2
Bank Mandiri KCP Jakarta Intiland Tower,5,"pelayannya ramah,",2
Bank Mandiri KCP Jakarta Intiland Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Intiland Tower,5,saya sangat senang dilayani penuh kesenangan terutama di teller pria sangat lucu dan murah senyum,2
Bank Mandiri KCP Jakarta Intiland Tower,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Intiland Tower,5,pelayanan sangat ramah dan sopan,2
Bank Mandiri KCP Jakarta Intiland Tower,5,pelayanan teller kece cepat secepat kilat,2
Bank Mandiri KCP Jakarta Intiland Tower,2,pelayanannya sangat buruk. apalagi teller nya. perempuan dan laki laki sinis ketus sangat tidak ramah.,0
Bank Mandiri KCP Jakarta Intiland Tower,5,pelayanan nya oke,2
Bank Mandiri KCP Jakarta Intiland Tower,5,bank mandiri berdharma jakpus sangat bagus pelayanan nya,2
Bank Mandiri KCP Jakarta Intiland Tower,2,"meresahkan nasabah ,sudah bayar tapi seeknya saja rekening nasabah main blokir saja tanpa pemmitahuan dan alasan yang jelas ke nasabah.human error atau sistem yag error.'",0
Bank Mandiri KCP Jakarta Intiland Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Intiland Tower,5,baik. sangat humble semua staf nya.. dari frontliner.. sampai bm nya,2
Bank Mandiri KCP Jakarta Intiland Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Intiland Tower,5,pelayan cepat dan ramah dan cantik cantik,2
Bank Mandiri KCP Jakarta Intiland Tower,5,mandiri intiland tower tebaik the best lah,2
Bank Mandiri KCP Jakarta Intiland Tower,5,"teller nya ramah , baik pelayanan nya cepat , mau membantu",2
Bank Mandiri KCP Jakarta Intiland Tower,5,sangat puas dengan pelayanan yang diberikan.,2
