Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Iskandarsyah,5,"pelayanan nya sudah bagus untuk cs dan security, ramah ramah dan baik, pertahankan untuk kedepan nya",2
Bank Mandiri KCP Jakarta Iskandarsyah,5,"security ramah, pelayanan cs dan teller baik"" memuaskan pelayanannya",2
Bank Mandiri KCP Jakarta Iskandarsyah,5,cs nya baik,2
Bank Mandiri KCP Jakarta Iskandarsyah,5,cs nya sangat ramah,2
Bank Mandiri KCP Jakarta Iskandarsyah,5,cs sangat membantu dan security nya ramah,2
Bank Mandiri KCP Jakarta Iskandarsyah,5,luar biasa,2
Bank Mandiri KCP Jakarta Iskandarsyah,5,pelayanannya mantap,2
Bank Mandiri KCP Jakarta Iskandarsyah,5,pelayanan cs cepat & praktis bgt,2
Bank Mandiri KCP Jakarta Iskandarsyah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Iskandarsyah,1,layanan teribet,0
Bank Mandiri KCP Jakarta Iskandarsyah,1,"bank teribet enggak bisa kasih solusi untuk nasabah nya sendiri mengurus atm hilang di persulit , sudah jelas kena musibah kehilangan dompet bukti surat kehilangan,kk,ktp digital",0
Bank Mandiri KCP Jakarta Iskandarsyah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Iskandarsyah,5,"sudah bagus semua. dari security, cs dan teller. luar biasa. mantap.",2
Bank Mandiri KCP Jakarta Iskandarsyah,5,pelayanannya sangat baik. awal datang disambut dan didampingi sama mas fakrul dan dikawal sampai ke customer service dengan mbak dini. 100% recommended and will come back later,2
Bank Mandiri KCP Jakarta Iskandarsyah,5,pelayanan sangat bagus sekali,2
Bank Mandiri KCP Jakarta Iskandarsyah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Iskandarsyah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Iskandarsyah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Iskandarsyah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Iskandarsyah,5,tetap semangat melayani dengan hati,2
Bank Mandiri KCP Jakarta Iskandarsyah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Iskandarsyah,5,cabang bersih dan staff melayani dengan ramah,2
Bank Mandiri KCP Jakarta Iskandarsyah,5,"pelayaan oke,temppat nyaman di dalam gedung iskandar",2
