Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Jagakarsa,5,terima kasih buat pak idham dan pak security sudah di bantu buka rek tab bisnis dan livin mandiri,2
Bank Mandiri KCP Jakarta Jagakarsa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jagakarsa,5,"ima kasih buat layanan di cabang ini, sudah di bantu penyelesaian masalah",2
Bank Mandiri KCP Jakarta Jagakarsa,5,"terima kasih sebelumnya buat layanan cabang sini, (security, cs, teller) bagus ramah dan cabangnya bersih",2
Bank Mandiri KCP Jakarta Jagakarsa,5,"terima kasih banyak buat pak security yang sudah membatu buatkan aris dan liviving sy,",2
Bank Mandiri KCP Jakarta Jagakarsa,1,"parah sih security nya kasih info enggak lengkap jadi bolak balik kesan nya jadi salah nasabah, perkara ganti pin tabungan anak. payah",0
Bank Mandiri KCP Jakarta Jagakarsa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jagakarsa,5,"pelayanan di cabang sini, baik, bagus, ramah cepat (teller, cs, security)",2
Bank Mandiri KCP Jakarta Jagakarsa,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Jagakarsa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jagakarsa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jagakarsa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jagakarsa,5,layanan terbaik,2
Bank Mandiri KCP Jakarta Jagakarsa,5,"terima kasih buat layanan di sini, sudah di bantu baik cs teller dan securitynya",2
Bank Mandiri KCP Jakarta Jagakarsa,5,"alhamdullilah, matur suwun buat pak security wes di buatkan tabungan online livin,",2
Bank Mandiri KCP Jakarta Jagakarsa,5,kantor yang bagus dan ramah pelayanannya,2
Bank Mandiri KCP Jakarta Jagakarsa,5,pelayanan ramah dari satpam dll nya memudahkan urusan kita dan bersih wangi tempatnya pokoknya bikin nyaman deh,2
Bank Mandiri KCP Jakarta Jagakarsa,5,"pengalaman dilayani oleh mbak sulistia ardi di kcp jakarta jagakarsa bernyanyi dengan lagu-lagu yang indah dan menyerahkan, adil damlam menjelaskan. sangat dianjurkan untuk dipromosikan (y)",2
Bank Mandiri KCP Jakarta Jagakarsa,5,"terima kasih banyak ya pak security, maaf pak saya bolak balik terus untuk aktivasi livin saya, maaf sudah merepotkan",2
Bank Mandiri KCP Jakarta Jagakarsa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jagakarsa,5,"cabang ini wantgi, bersih, sepi iancar, cepat pelayanana, dan buat pak securitynya sudah di bantu untuk layan hidup saya yang ke blokir.",2
Bank Mandiri KCP Jakarta Jagakarsa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jagakarsa,5,playanan bagus ramah tamah untuk pegawenya,2
Bank Mandiri KCP Jakarta Jagakarsa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jagakarsa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jagakarsa,5,"terimakasih bapak satpam, sudah membantu benar-benar dibikinin dari awal atm baru",2
Bank Mandiri KCP Jakarta Jagakarsa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jagakarsa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jagakarsa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jagakarsa,5,"wangi, bersih, layanannya cepat tepat, petugasnya di sini sangat ramah",2
Bank Mandiri KCP Jakarta Jagakarsa,1,"pelayanan nya bagus, cuma tukang parkir nya maksa banget untuk bayar parkir padahal di bank mandiri lain tukang parkir nya enggak arogan kayak disini",0
Bank Mandiri KCP Jakarta Jagakarsa,5,"pelayanan sangat bagus, mantap",2
Bank Mandiri KCP Jakarta Jagakarsa,5,mas doni terbaik pokoknya,2
Bank Mandiri KCP Jakarta Jagakarsa,5,layanannya bagus,2
Bank Mandiri KCP Jakarta Jagakarsa,1,aneh banget masa nuker uang saja hanya bisa maksimal 50rb dan uang nya jelek bukan uang baru yang masih di segel,0
Bank Mandiri KCP Jakarta Jagakarsa,5,"layanan di cabang ini baik dan ramah dari cs, teller dan securitynya baik",2
Bank Mandiri KCP Jakarta Jagakarsa,5,"terimakasih mas idham sudah membantu buka rekening baru, pelayanan ramah",2
Bank Mandiri KCP Jakarta Jagakarsa,5,alhamdullilah layanan di cab jagakarsa sangat memuaskan,2
