Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,"terima kasih sudah dibantu ,bpk securitynya mantap",2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,1,sekitar tanggal 5 juni 2025 jam 14:30 saya kesana ingin mencetak kartu ada preman yang bikin enggak nyaman dan ternyata semua konsumen di ancam oleh preman tersebut anehnya satpamnya saya komplen tidak membela kemudian ada konsumen lain protes,0
Bank Mandiri KCP Jakarta Jalan Garuda,5,tolong siapkan tempat kopi,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,pelayanan oke banget,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,"bagus banget pelayanannya, solutif memberikan solusi bagi kebutuhan nasabah cs nya juga ramah kebersihannya terjaga",2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,"pelayanan sangat ramah, cepat.",2
Bank Mandiri KCP Jakarta Jalan Garuda,2,ada tukang parkir tua kacamata dan gondroong yang memaksa konsumen bank unsuk baya parkir.,0
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,cs mbak fanisya novalita sangat membantu nasabah dalam bertransaksi,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,"pelayanan ramah, sedikit saran tambahkan hadiah di mandirii",2
Bank Mandiri KCP Jakarta Jalan Garuda,5,"petugas cs nya ramah, kerjanya juga cepat dan pembuatan rekening baru nya cepat selesai terima kasih sudah dibantu",2
Bank Mandiri KCP Jakarta Jalan Garuda,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,pelayanan bagus tapi tambahkan kopi corner,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,"pelayanan cs nya ramah dan baik sangat membantu,kenyamanan ruangan dingin dan bersih",2
Bank Mandiri KCP Jakarta Jalan Garuda,5,"pelayanan ramah, selalu baik, tks",2
Bank Mandiri KCP Jakarta Jalan Garuda,5,"pelayanan yang baik dan ramah, tetap dipertahankan dan semakin baik, tks",2
Bank Mandiri KCP Jakarta Jalan Garuda,5,"pelayanan nya cepat, karyawan nya ramah-ramah",2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,"tempat nya bersih, pelayanan nya cukup ramah. thx mandiri",2
Bank Mandiri KCP Jakarta Jalan Garuda,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,cs nya ramah,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,pelayanannya bagus dan tempatnya juga bersih,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Garuda,1,"tukang parkir nya konyol sih gondrong, parkir sebentar doang enggak di kasih malah nyolot, kalo motor hilang memang mau tanggung jawab? di ajak ribut keluar enggak berani",0
Bank Mandiri KCP Jakarta Jalan Garuda,5,bang mandirinya bersih.layanannya baik dan ramah,2
Bank Mandiri KCP Jakarta Jalan Garuda,2,"hari sabtu tanggal 30 agustus,ceritanya saya stortunai dan lupa di yes (karena buru buru) untung dengan nominal sedikit, pas ditaya sama tukang parkir ada orang yang masuk tidak setelah saya,kata tukang",0
Bank Mandiri KCP Jakarta Jalan Garuda,5,sangat puas dengan pelayanan yang diberikan.,2
