Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Jalan Kopi,5,pelayanan enak,2
Bank Mandiri KCP Jakarta Jalan Kopi,5,sangat memuaskan,2
Bank Mandiri KCP Jakarta Jalan Kopi,5,"jalan kopi saya kira tempat ngopi ternyata bank mandiri di jalan kopi, sekalian buka rekening aja, ternyata gampang, mudah dan cepat lagi.",2
Bank Mandiri KCP Jakarta Jalan Kopi,5,pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Jalan Kopi,5,customer service maupun security-nya sangat ramah .,2
Bank Mandiri KCP Jakarta Jalan Kopi,5,customer service nya sangat ramah,2
Bank Mandiri KCP Jakarta Jalan Kopi,5,pelayanannya sangat ramah dan membantu sekali,2
Bank Mandiri KCP Jakarta Jalan Kopi,5,pelayanannya sangat bagus sekali,2
Bank Mandiri KCP Jakarta Jalan Kopi,5,pelayanan nya cepat dan ramah,2
Bank Mandiri KCP Jakarta Jalan Kopi,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Jalan Kopi,5,mandiri jalan kopii terbaiikk,2
Bank Mandiri KCP Jakarta Jalan Kopi,5,pelayanan sangat ramah security teller dan customer service nya sangat membantu,2
Bank Mandiri KCP Jakarta Jalan Kopi,5,"pelayanan nya bagus, teller nya ramah",2
Bank Mandiri KCP Jakarta Jalan Kopi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Kopi,5,"tadinya mau mencari kopi, tapi nyasar kesini. tapi karena satpam dan cs ramah jadi okelah",2
Bank Mandiri KCP Jakarta Jalan Kopi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jalan Kopi,5,baik layanan terima kasih banyak,2
