Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Jatinegara Barat,5,sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,saya ke mbak adzkiya di cs saya dibantu buatkan kopra dan ganti kartu saya sangat puas dengan layanan di cs mbak adzkiya,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,"pelayanan karyawan mandiri nya ramah"" . cs nya hilyatul adzkiya super baik, ramah, memberikan pelayanan nya yang terbaik. thx mbak sukses selalu",2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,"pelayanan nya atas nama mbak adzkiya sangat ramah tamah,sopan dan baik. terimakasi",2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,"suasana nya nyaman, rapih, tellernya ramah.",2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,terima kasih mbak dwi atas infonya untuk pinjaman sangat puas,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,terimakasi mbak dwi sudah di bantu tentang kartu kredit,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,service marketingnya bagus mbak dwi,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,"pelayanan nya sangat memuaskan; sopan, santun, murah senyum mulai dari cs, karyawan dan security nya pun ramah banget, sukses selalu ya untuk seluruh karyawan bank mandiri",2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,kesabarannya memuaskan,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatinegara Barat,5,sangat puas dengan pelayanan yang diberikan.,2
