Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Jatipadang,5,buat kue,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan ramah dan cepat suka sekali,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,terima kasih mbak febri,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan bagus dan nyaman,2
Bank Mandiri KCP Jakarta Jatipadang,5,terima kasih bang indra tamvan,2
Bank Mandiri KCP Jakarta Jatipadang,5,"terimakasih kasih sudah membantu, mbak febri",2
Bank Mandiri KCP Jakarta Jatipadang,5,bagus nih,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan nya bagus,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,pekayanan yang saya rasakan lumayan enak dan cepat sangat ramah pegawainya,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan oke dan ramah bersih adem ruangannya,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan bagus dan ramah,2
Bank Mandiri KCP Jakarta Jatipadang,5,"baru dari sini,pelayanan sangat ramah dan sopan,sangat puas makasih",2
Bank Mandiri KCP Jakarta Jatipadang,5,cs nya ramah profesional dan gesit,2
Bank Mandiri KCP Jakarta Jatipadang,5,terimakasih mbak reri suka membantu saya :),2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Jatipadang,5,bagus dan ramah,2
Bank Mandiri KCP Jakarta Jatipadang,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Jatipadang,5,bagus dan nyaman,2
Bank Mandiri KCP Jakarta Jatipadang,5,terimakasih mbak reri,2
Bank Mandiri KCP Jakarta Jatipadang,5,pebukyan rama,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan bagus dan ramah,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanannya sangat bagus . ramah dan mudah di pahami .,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Jatipadang,5,untuk pelayanan nya sangat baik dan ramah dan di mudah kan setiap langkah nya jadi lebih simple dan cepat .. pertahan kan pelayanan yang ramah,2
Bank Mandiri KCP Jakarta Jatipadang,5,teller renita yazmi pelayanannya sangat ramah cepat dan murah senyum tempat sangat nyaman,2
Bank Mandiri KCP Jakarta Jatipadang,5,ningrat pelayan,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Jatipadang,5,tempat nya bersih dan juga nyaman,2
Bank Mandiri KCP Jakarta Jatipadang,5,tempat dan pelayanan nya sangat bagus,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Jatipadang,5,penanganan nya sangat cepat dan karyawan sangat ramah,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,terimakasih atas pelayanannya,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Jatipadang,5,terimakasih pelayanannya,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,cukup puas dan pelayanannya sangat ramah,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan cepat dan cs respon nya ramah sekali,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan cukup baik,2
Bank Mandiri KCP Jakarta Jatipadang,5,layanan yang baik,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan nya bagus dan cs nya ramah,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Jatipadang,5,terimakasih pelayanan kak reri,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan baik dan cepat,2
Bank Mandiri KCP Jakarta Jatipadang,5,layanan yang baik,2
Bank Mandiri KCP Jakarta Jatipadang,5,[ gambar di hlm.,2
Bank Mandiri KCP Jakarta Jatipadang,5,"pelayanan nya sangat bagus sekali, dan untuk atas nama kak apreri abi mahas sangat ramah dan enak sekali untuk di ajak berbicara pokok nya bank mandiri jatipadang bagus",2
Bank Mandiri KCP Jakarta Jatipadang,5,terimakasih mbak reri pelayanannya,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan baik & ramah,2
Bank Mandiri KCP Jakarta Jatipadang,5,"pelayanan ramah, cepat dan sangat baik",2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanannya cepat 'baik dan sopan,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat ramahh dan cepat pelayanannya,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat baik,2
Bank Mandiri KCP Jakarta Jatipadang,5,baik pelayanan,2
Bank Mandiri KCP Jakarta Jatipadang,5,tempat nyaman dan bersih. pelayanan cepat. petugas ramah dan cekatan terutama cs ibu rery keren,2
Bank Mandiri KCP Jakarta Jatipadang,4,pelayanan ramah dan proses cepat,2
Bank Mandiri KCP Jakarta Jatipadang,5,terimakasih bantuannya mbak reri,2
Bank Mandiri KCP Jakarta Jatipadang,5,prlayanan bagus dan ramah,2
Bank Mandiri KCP Jakarta Jatipadang,5,terimakasih,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan yang baik oleh ms. febriana,2
Bank Mandiri KCP Jakarta Jatipadang,5,maaci mbak reri pelayanannya,2
Bank Mandiri KCP Jakarta Jatipadang,5,terima kasih jatipadang,2
Bank Mandiri KCP Jakarta Jatipadang,5,pengurusan atm yang ke blokir cepat ditangani,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,terimakasih pelayannya mbak reri,2
Bank Mandiri KCP Jakarta Jatipadang,5,"pelayanan super ramah dan efektif, serta memiliki tempat yang bersih keep up the good work!",2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,thank youu mandiri,2
Bank Mandiri KCP Jakarta Jatipadang,5,"tempat nyaman, bersih, rapih. pelayanan cepat. petugas sangat ramah",2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan prima cepat. cs sangat komunikatif,2
Bank Mandiri KCP Jakarta Jatipadang,5,"pelayanan nya bagus, dan cepat",2
Bank Mandiri KCP Jakarta Jatipadang,4,"datang untuk mengurusi pin atm ke blokir, ternyata didalam sudah ada sekitar 5org nasabah yang antri. cs ada 2 org, tapi 1 orang kerjanya nelpon melulu, entah handle apaan. ya seharusnya bisa lah ditunda, handle nasabah yang didepan mata lebih baik.",2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan nya ramah,2
Bank Mandiri KCP Jakarta Jatipadang,5,pelayanan ramah dan cepat.terima kasih mbak febriana,2
Bank Mandiri KCP Jakarta Jatipadang,5,terima kasih bank mandiri sudah membantu,2
Bank Mandiri KCP Jakarta Jatipadang,5,tuhan kamu,2
Bank Mandiri KCP Jakarta Jatipadang,5,terima kasih mbak reri,2
Bank Mandiri KCP Jakarta Jatipadang,5,baik sekali,2
Bank Mandiri KCP Jakarta Jatipadang,5,mantul sekali mbak nya sangat ramah dan asik,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,layanan terbaik cs dan tellernya sangat membantu,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat baik,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jatipadang,5,sangat puas dengan pelayanan yang diberikan.,2
