Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,pelayanan ramah dan sangat baik,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,pegawai ramah semua..,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,"senang dengan pelayanan bank mandiri cabang jelambar baru, ramah membantu,praktis tidak ribet dan cepat, terimakasih",2
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat baik dan cepat,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,mantap pelayanan nya,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,mantap,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,"pelayanannya baik ramah , crpet juga staffnya good deh",2
Bank Mandiri KCP Jakarta Jelambar Baru,5,pelayanan baikk,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,ok,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,layanan yang sangat baik,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,pengalaman yang bagus,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,ok,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,bagus,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,layanan bagus,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,tks,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,pelayanannya good,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,"mantap sales helmi, pelayanan nya baik, amanah, cepat dan pelayanan karyawan mandiri nya bagus cepat tanggap",2
Bank Mandiri KCP Jakarta Jelambar Baru,5,"mantap pak helmi sales nya gesit, ramah, dan pegawai nya ramah semua..mantap mandiri jelambar baru",2
Bank Mandiri KCP Jakarta Jelambar Baru,5,pelayanan bagus dikerjain sampai bisa,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,perbankan berguna,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,terbaik,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,bagus,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,good,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,adem,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,cs pelayanan baik dan ramah tamah,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,"pelayanan baik,",2
Bank Mandiri KCP Jakarta Jelambar Baru,5,pelayanan nya sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Jelambar Baru,5,ok,2
