Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Jelambar,5,"mandiri jelambar semua pegawai mulai dari cs,teler sd pimpinannya ramah"" dan pelayananya cepat dan sigap. sukses terus buat mandiri jelambar",2
Bank Mandiri KCP Jakarta Jelambar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar,5,pelayanan nya ok,2
Bank Mandiri KCP Jakarta Jelambar,5,samping bank mandiri ada pt mitra rasa nusantara itu penipuan suruh bayar 1.800,2
Bank Mandiri KCP Jakarta Jelambar,5,"pelayanan baik, staff ramah dan cantik cantik",2
Bank Mandiri KCP Jakarta Jelambar,5,"ubur ubur ikan lele, bank mandiri keren lee pelayanannya bagus teller cs ramah. cabangnya bersih",2
Bank Mandiri KCP Jakarta Jelambar,5,pelayanan nya ok,2
Bank Mandiri KCP Jakarta Jelambar,5,pelayanannya cepat,2
Bank Mandiri KCP Jakarta Jelambar,5,mantul,2
Bank Mandiri KCP Jakarta Jelambar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar,5,pelayanan nya baik,2
Bank Mandiri KCP Jakarta Jelambar,5,pelayanan ramah dan baik,2
Bank Mandiri KCP Jakarta Jelambar,5,"teller dan csony ramah hospitality orang pelayanannya bagus tempatnya bersih dan nyaman pokoknya worth itu banget buat transaksi disini, makasih bank mandiri",2
Bank Mandiri KCP Jakarta Jelambar,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Jelambar,5,pelayanan nya sangat baik oleh petugasnya,2
Bank Mandiri KCP Jakarta Jelambar,5,pelayanan nya sangat baik,2
Bank Mandiri KCP Jakarta Jelambar,5,"teller nya baik,membantu pelayanan nasabah",2
Bank Mandiri KCP Jakarta Jelambar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar,5,tempatnya nyaman dan pelayanannya cepat,2
Bank Mandiri KCP Jakarta Jelambar,5,mantab,2
Bank Mandiri KCP Jakarta Jelambar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar,5,pelayanannya ramah oke banget,2
Bank Mandiri KCP Jakarta Jelambar,5,pelayanan nya bagus dan cepat sekali,2
Bank Mandiri KCP Jakarta Jelambar,5,adem cabangnya bersih pelayanan cs ok,2
Bank Mandiri KCP Jakarta Jelambar,5,"mbak nya ramah banget, pelayanannya oke. mantap",2
Bank Mandiri KCP Jakarta Jelambar,5,layanan cs nya baik..ramah2..trm kasih,2
Bank Mandiri KCP Jakarta Jelambar,1,"pemaksaan nasabah untuk melakukan pembuatan mandiri prioritas atas nama annisah, tolong ya kalo orang tua jangan langsung di paksa untuk melakukan aktifasi sesuatu",0
Bank Mandiri KCP Jakarta Jelambar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jelambar,5,sangat puas dengan pelayanan yang diberikan.,2
