Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Jembatan Lima,5,"sangat baik, membantu sekali terima kasih",2
Bank Mandiri KCP Jakarta Jembatan Lima,5,"terbak dalam dalam menjalankan pelayananan membantu dalam pembuatan rekening, informatif dan memudahkan dalam bertransaksi.",2
Bank Mandiri KCP Jakarta Jembatan Lima,5,terbaik,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,pelayanan nya baik&ramah,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,pelayanan cepat dan ramah banget,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,pelayanannya baik dan ramah,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,"mulai dari petugas keaman, fasilitas, keramahan, dan kasih bantuan untuk nasabah sangat memuaskan, semoga tetap di lanjutkan,dan di tingkatkan",2
Bank Mandiri KCP Jakarta Jembatan Lima,5,pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,pelayanannya ramahh,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,bagus dan ramah pelayanannya terima kasih mbak rizka cs,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,pelayanannya the best dari awal masuk sampai selesai,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,nyata,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,pelayanannya alhmdulillah baik,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,baik,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,pelayanan oke,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,untuk mbak haura nasywa hambali baik sekali masya allah tabarakallah. naikan jabatan nya ya,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,pelayanan nya sangat baik dan mempermudahkan sekali,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,"terima kasih degan kakak haura,sudah membikin kartu baru",2
Bank Mandiri KCP Jakarta Jembatan Lima,5,keren pelayanan gercep. ramah dan sopan. jangan ragu buka rekening mandiri. aman.,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,"saya sangat menyukai pelayanannya, ramah dan bersih",2
Bank Mandiri KCP Jakarta Jembatan Lima,5,"ambil atm disini langsung di proses, cepat juga cs ramah juga",2
Bank Mandiri KCP Jakarta Jembatan Lima,5,csnya ramah,2
Bank Mandiri KCP Jakarta Jembatan Lima,1,di sini ada mesin cetak kartu atm nya enggak ya,0
Bank Mandiri KCP Jakarta Jembatan Lima,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Jembatan Lima,1,pelayanan sangat tidak ramah mandiri bintang 1,0
Bank Mandiri KCP Jakarta Jembatan Lima,5,pelayanannya ramah terus profesional juga. stafnya membantu banget terus sigap dan baik dalam melayani setiap nasabah,2
Bank Mandiri KCP Jakarta Jembatan Lima,5,"lokasi strategis dan mudah diakses! bank ini berada di area yang mudah ditemukan, cocok untuk berbagai keperluan perbankan.",2
Bank Mandiri KCP Jakarta Jembatan Lima,5,suasana nyaman dan pelayanan cepat! proses transaksi berjalan lancar dengan fasilitas yang bersih dan tertata rapi,2
