Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Johar Baru,5,"pelayanannya ramah, sat set sat set. pokoknya enak deh",2
Bank Mandiri KCP Jakarta Johar Baru,5,"pelayanannya bagus, memuaskan, 5s diterapkan",2
Bank Mandiri KCP Jakarta Johar Baru,5,"pelayanannya ramah , karyawan ramah, tempat bersih , mantap",2
Bank Mandiri KCP Jakarta Johar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Johar Baru,5,pelayanannya cepat rama best deh,2
Bank Mandiri KCP Jakarta Johar Baru,5,"cabangnya di ruko yang enggak begitu besar, tapi ambientnya sejuk dan pelayanan sangat friendly terutama sekuriti yang gembulnya aktif banget",2
Bank Mandiri KCP Jakarta Johar Baru,5,"pelayanan sangat amat ramah, jadi merasa nyaman luv",2
Bank Mandiri KCP Jakarta Johar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Johar Baru,5,pelayanan nya bagus dan ramah banget,2
Bank Mandiri KCP Jakarta Johar Baru,5,"pelayanan bagus, security, cs dan telernya ramah semua full senyum .. good lah pokoknya",2
Bank Mandiri KCP Jakarta Johar Baru,5,pelayanannya sangat ramah sekali.,2
Bank Mandiri KCP Jakarta Johar Baru,5,"pegawainya ramah ramah, pelayanannya cepet, cekatan",2
Bank Mandiri KCP Jakarta Johar Baru,5,mantull,2
Bank Mandiri KCP Jakarta Johar Baru,5,peleyan oke banget mandiri johar cepat dn duduk set,2
Bank Mandiri KCP Jakarta Johar Baru,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Johar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Johar Baru,5,"ruangannya harum, bersih, tertata rapi. pas menunggu transaksi ke cs, nyaman",2
Bank Mandiri KCP Jakarta Johar Baru,5,"tellernya ramah, cekatan pas transaksi, bisa tuker uang. cara cs njelasin mudah dipahami, orangnya ramah, enak dipandang",2
Bank Mandiri KCP Jakarta Johar Baru,5,"sudah sering ke sini enggak ada alasan buat bilang layanannya enggak bagus semua2 staff nya fokus sama nasabah, pertahankan",2
Bank Mandiri KCP Jakarta Johar Baru,5,"pelayanan cepat,ramah..baik..the best kcp johar baru",2
Bank Mandiri KCP Jakarta Johar Baru,5,securtynya senang membantu,2
Bank Mandiri KCP Jakarta Johar Baru,5,"layananan cepet, ramah semua karyawan nya , sering ke teller ,stategis juga tempatnya bersih dan nyaman , sukses terus mandiri moga tempatnya bisa upgrade biar lebih luas lagi",2
Bank Mandiri KCP Jakarta Johar Baru,5,pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Johar Baru,5,"pelayanan ramah, petugas nya cekatan, satpam nya siap melayani",2
Bank Mandiri KCP Jakarta Johar Baru,5,pelayanan mantap dan ramah terhadap nasabah,2
Bank Mandiri KCP Jakarta Johar Baru,5,"enggak habis fikir sama security nya,sagat helping tiap saya bingung pasti langung di hampiri oleh beliau.cs and tellernya lugarenn tiap menginformasikanasi yang dia berikan tada waat saya bing.teap diga kulians yaliana saya sesukali transasi dibangi",2
Bank Mandiri KCP Jakarta Johar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Johar Baru,5,pelayanannya baik terutama security sangat ramah dan membantu untuk pelayanan terhadap nasabah,2
Bank Mandiri KCP Jakarta Johar Baru,5,security yang ramah sangat membantu saya dalam bertransaksi di bank mandiri kcp johar baru. saya menghargai itu. pertahankan ya ..,2
Bank Mandiri KCP Jakarta Johar Baru,5,"mandiri johar baru sangat nyaman,lokasix strategis,karyawan ramah2 murah senyum baik hati tidak sombong,,betah banget disini tidak ingin pindah kelain hati",2
Bank Mandiri KCP Jakarta Johar Baru,5,"pak refa fahreza baik sekali, ramah tamah, pelayanan memuaskan",2
Bank Mandiri KCP Jakarta Johar Baru,1,hari senin 2juni2025 pelayanan security jelek enggak bagus enggak ramah enggak ada senyum senyum nya kurang baik sama customer pelayanan security jelek sumpah kecewa sama pelayanan nya. kcp mandiri johar baru,0
