Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Juanda,1,jumat saya magajukan cetak rekening konan (13 juni 2025) kata cs akan 3-5 hari kerja disampikan melalui whatsapp. namun samapai saat ini belum. mohon berikan jawaban an.,0
Bank Mandiri KCP Jakarta Juanda,1,pelayanan nya parah banget cuman ngaktifin livin saja harus menunggu 14hari paling cepat 7hari sudah menunggu sampai 7hari enggak ada kabar juga saya ngaktifin di mandiri lain cepat banget kok enggak perlu menunggu sampai lama begitu kenapa di tempat mandiri,0
Bank Mandiri KCP Jakarta Juanda,5,tempatnya bagus dan nyaman pelayanan ramah dan gerak cepat melayani nya,2
Bank Mandiri KCP Jakarta Juanda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Juanda,5,cs & tellernya oke banget pelayanannya,2
Bank Mandiri KCP Jakarta Juanda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Juanda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Juanda,5,pelayanan nya baik ramah juga,2
Bank Mandiri KCP Jakarta Juanda,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Juanda,1,teruntuk mbak mbak di yang bekerja di mandiri 0 etika & sopan santun,0
Bank Mandiri KCP Jakarta Juanda,5,sangat puas dengan pelayanan yang diberikan.,2
