Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta KS Tubun,5,"pelayanan baik,terima kasih bank mandiri coba ks tubun",2
Bank Mandiri KCP Jakarta KS Tubun,5,pelayanan sangat baik dan ramah,2
Bank Mandiri KCP Jakarta KS Tubun,5,pelayanan ramah dan baik,2
Bank Mandiri KCP Jakarta KS Tubun,5,bagus terima kasih pelayanannya,2
Bank Mandiri KCP Jakarta KS Tubun,5,pelayanan ramah dan untuk satpam nya sangat membantu untuk membuka rekening,2
Bank Mandiri KCP Jakarta KS Tubun,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta KS Tubun,5,layanan sangat baik bu alvi,2
Bank Mandiri KCP Jakarta KS Tubun,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta KS Tubun,5,keamanan dan teller ramah dalam melayani,2
Bank Mandiri KCP Jakarta KS Tubun,5,pelayanannya ok banget,2
Bank Mandiri KCP Jakarta KS Tubun,5,"paling asik kalo sudah kesini, selain tempatnya yang bersih dan nyaman, pelayanannya juga sangat baik pada ramah semua tanpa terkecuali pokoknya",2
Bank Mandiri KCP Jakarta KS Tubun,5,"pelayan nya cepat dan baik,dari teller,cs, security sampai tukang parkir nya baik dan ramah sekali,puas pokoknya bertransaksi disini.",2
Bank Mandiri KCP Jakarta KS Tubun,5,"terimakasih atas layanan profesional oleh ibu adek dan ibu alvi,. sekalipun saya bukan nasabah reguler bank mandiri tetapi saat membutuhkan layanan dari bank mandiri di handle denga sangat baik . sukses selalu mandiri ks tubun dan terutama untuk ibu adek dan ibu alvi",2
Bank Mandiri KCP Jakarta KS Tubun,5,bagus selalu pelayanannya,2
Bank Mandiri KCP Jakarta KS Tubun,5,bagus pokoknya,2
Bank Mandiri KCP Jakarta KS Tubun,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta KS Tubun,5,pelayanan nya bagus dan tempat nya nyaman,2
Bank Mandiri KCP Jakarta KS Tubun,5,kinerja dan pelayanan sangat baik,2
Bank Mandiri KCP Jakarta KS Tubun,5,nyaman tempatnya..petugasnya ramah,2
