Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kalimalang,5,kondusif,2
Bank Mandiri KCP Jakarta Kalimalang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kalimalang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kalimalang,5,pelayanan bagus cepat dan ramah,2
Bank Mandiri KCP Jakarta Kalimalang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kalimalang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kalimalang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kalimalang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kalimalang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kalimalang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kalimalang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kalimalang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kalimalang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kalimalang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kalimalang,5,staf cepat pelayanan membantu!,2
Bank Mandiri KCP Jakarta Kalimalang,5,teller nya sangat helpfull dan ramah,2
Bank Mandiri KCP Jakarta Kalimalang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kalimalang,5,untuk pelayanan nya sangat baik,2
Bank Mandiri KCP Jakarta Kalimalang,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Kalimalang,5,sangat memuaskan pelayanannya dan karyawannya sangat ramah,2
Bank Mandiri KCP Jakarta Kalimalang,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Kalimalang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kalimalang,4,"jam 8 lewat belum buka, saat saya masuk melalui pintu atm dan menanyakan ke security 'belom buka ya pak sudah jam 8?' jawaban security 'ini baru mau buka. kenapa? ini mau dibuka, baru selesai briefing.' agak ketus seperti itu tolong diperbaiki pelayanannya",2
Bank Mandiri KCP Jakarta Kalimalang,5,"pelayanan teller nya ramah dan cepat, sangat membantu nasabah",2
Bank Mandiri KCP Jakarta Kalimalang,5,"tempat nya sangat nyaman, semua pelayanan nya sangat ramah",2
Bank Mandiri KCP Jakarta Kalimalang,5,pelayanan di teller sangat ramah,2
Bank Mandiri KCP Jakarta Kalimalang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kalimalang,5,"tempatnya bagus banget, adem, bersih, pelayanan nya jelas dan helpful, semua proses sat set anti ribet dan lama, the best bank lain enggak ada kayak begini",2
Bank Mandiri KCP Jakarta Kalimalang,5,pelayanannya cepat dan cabangnya bersih,2
