Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kalisari,4,"sederhana tapi tidak buruk. keamanan sangat membantu. kalo ada yang bilang csnya ada yang ngayak ramah, benar banget",2
Bank Mandiri KCP Jakarta Kalisari,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Kalisari,5,"pelayanan nya ramah, menjelaskan dengan detail mengenai tabungan yang saya buat",2
Bank Mandiri KCP Jakarta Kalisari,5,pelayanannya ok,2
Bank Mandiri KCP Jakarta Kalisari,5,pelayanan di cs mbak dyah baik cepat ramah,2
Bank Mandiri KCP Jakarta Kalisari,5,cs ibu dyah pelayanan baik dan cepat,2
Bank Mandiri KCP Jakarta Kalisari,5,"pertama saya ke kcp ini untuk mbak dyah cs terimakasih sudah memberikan pelayanan yang baik,cepat dan ramah",2
Bank Mandiri KCP Jakarta Kalisari,5,terimakasih mbak dyah cs sudah memberikan pelayanan yang baik,2
Bank Mandiri KCP Jakarta Kalisari,5,"cs ramah ,pelayanan juga baik",2
Bank Mandiri KCP Jakarta Kalisari,5,"pelayanan mandiri di cabang kalisari terbaik, cs atas nama dyah pelayanan bagus, ramah, cepat dan teliti. terimakasih dan terus ditingkatkan :)",2
Bank Mandiri KCP Jakarta Kalisari,5,"pertama datang kcp ini pelayanannya sangat baik dan cepat direspon, terimakasih cs mbak dyah",2
Bank Mandiri KCP Jakarta Kalisari,5,"pelayanan cs sudah sangat baik , ramah, cepat, the best mandiri kalisari",2
Bank Mandiri KCP Jakarta Kalisari,5,terimakasih mbak dyah untuk pelayanannya yang sangat baik dan cepat,2
Bank Mandiri KCP Jakarta Kalisari,5,cs pelayanan baik dan ramah#terimakasih ibu dyah,2
Bank Mandiri KCP Jakarta Kalisari,5,"sangat puas ke mandiri sini cas atas nama dyah ramah cepat buat rek,cc , mtr.. bagus pokoknya",2
Bank Mandiri KCP Jakarta Kalisari,1,cs inisial di tidak sopan dan pelayanan kurang. saya 3 kali datang ke cabang karena atm terblokir. harus ke 3 kali datang dulu. masih terblokir dan tidak bisa di gunakan. dan cs terlalu banyak bertanya tentang pribadi. tidak sopan,0
Bank Mandiri KCP Jakarta Kalisari,1,teller yang atas nama dyah ettitude nya bikin nasabah tidak nyaman . cara bicara mengintimidasi . saya mau buka rekening bukan teroris . baru kali ini saya ke bank ketemu staf kayak begini . jadi membuat saya ragu sama fasilitas bank dan tidak,0
Bank Mandiri KCP Jakarta Kalisari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kalisari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kalisari,5,pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Kalisari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kalisari,5,sangat puas dengan pelayanan yang diberikan.,2
