Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,set setan pelayanan,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,pelayanan nya bagus.di bantu dengan baik dan cepat saat pembukaan rekening reguler..terimaksih mbak nanik,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,pelayanan bagus dan memuaskan..is the best,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,"pelayanan bagus tellernya menarik, ramah",2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,pelayanan nya bagus good,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,"pelayanan nya bagus, ramah dan cabang nya bersih",2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,ramah keamanan,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,jika,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,mantap,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,terbaik,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,security baik dan ramah,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,"mantab, pendaftaran secara online yang sangat dipermudah, cepat dan tanpa ribet sukses selalu buat bank mandiri",2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,"pelayanan sangat ramah, terutama teller yang bernama putri amalia. terimakasih telah membantu",2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,pelayanan bagus teller nya rama manis adalah yang terbaik bank mandiri kawasan industri pulogadung,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,ok tempat dan pelayanananny,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,pelayanan nya bagus ramah ..teller nya cantik cantik senyum nya manis..,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,cabang bersih dan orgnya baik baik,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,"bagus, nyaman, pelayanan baik,",2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,pelayannya bagus staff nya juga ramah sangat mengutamakan kenyamanan customer tempatnya bersih dan juga nyaman pokoknya bikin betah customer.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,good,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,"saya suka sekali, karena pelayanannya yang bagus dan juga ramah",2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,"pelayanan bagus, recommend dan nyaman",2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,pelayanan nya sangat bagusaya sudah pernah ke sana,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,pelayanan yang baik.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,pelayanan kantongnya.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,baik dan bagus,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,"pelayanan nya baik sekali, fasilitas disana bagus dan nyaman juga",2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,bertahun-tahun jadi nasabah bank mandiri tapi jarang ke kantor cabang. staff nya sangat helpful. biarpun antri panjang tapi tetap sat-set. terus pertahannya ya.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,"cabang mandiri di sini sigap, cepat tanggap, kurang kurang sedikit oke lah, semoga semakin bisa menjadi lebih baik lagi.",2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kawasan Industri Pulogadung,5,"cabang mandiri di sini fash respon dan ramah ramah, semoga bisa selalu menjadi lebih baik. thanks bank mandiri",2
