Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kebayoran Lama,5,sangat memuaskan,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,bersih dan starategis kantornya . ohiya karyawan a/n yusuf juga membantu saya dan ramah banget pelayananya semoga sukses selalu buat masnya dan cabangnya .,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,pelayanan security baik ..semua nya baik sangat membantu terimkasih,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,pelayanannya memuaskan,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,bagus,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,"bagus, asik",2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,"pelayanan nya bagus, cepat dan lingkungan nya juga bersih. security nya ramah",2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,pelayannya bagus,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,sangat baik lu pelayanannya,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,sangat puas,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,niatnya mau tutup rekening karena saldo mengendapnya 100rb. ditawarkan rekening yang saldo mengendap 25rb. aku langsung buat mudah banget caranya. terima kasih mbak iis sudah membantu,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,pelayan cepat ramah dan bagus tempat bersi dan luas,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,trimakasih pelayanan nya pak satpam,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,informatif customer dinas nya,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,terimakasih sudah membantu mbak iis untuk pembukaan rekeningnya. ternyata sangat mudah,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,terimakasih kak sudah bantu buat rekeningnya,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,terimakasih sudah membantu buat rekening dan tabungan rencananya mbak iis,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,pelayanan terbaik cepat mantap,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,parkir luas gk. pelayanan teler sangat baik,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,pelayanan nya yang sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,pelayanan sangat memuaskan,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,pelayanannya baik dan ramah ramah.,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,baik sekali ramah ramah dan pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,pelayanannya cepat ramah ..,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,bagus pelayanannya. terimkasih sudah dibantu pembuatan rekening nya.,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,layanan bagus terima mbak nya,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,mantapo,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,pelayanan sangat memuaskan,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,layananya bagus tempat nyaman orang nya ramah,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,terimakasih sudah membantu untuk pembukaan rekeningnya. prosesnya cepat dan mudah,2
Bank Mandiri KCP Jakarta Kebayoran Lama,5,parkir nya luas layanan bagus mantab,2
