Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kebon Jeruk,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,"terima kasih banyak atas pelayanan sangat baik,",2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,pelayanan cepat & ramah,2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,pelayanannya ramah dan sopandan ruangnya bersih dan nyaman,2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,"cabangnya rapi, karyawannya ramah",2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,"mbak cs-nya baik sangat membantu saya, mbak windy namanya terima kasih bank mandiri",2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,pelayanan nya baik,2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,pelayanan cs baik ramah dan suasana cabang nyaman,2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,"pelayanan sangat baik,senyum sapa salam sopan santun",2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,"good service, cs nya ramah kak windy juga kooperatif dan detail. terima kasih bank mandiri",2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,"cabangnya bersih, pegawai ramah semua",2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,"cabangnya bersih, karyawan baik semua",2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,"cabangnya adem, bersih. securiti, cs dan tellernya ramah. nyaman banget transaksi disini.",2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,"pelayanan ramah,tempat bersih",2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,"cabangnya adem wangi, petugas yang ramah.",2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,"cs nya ramah , security juga, tempatnya nyaman",2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,"pelayanannya mantap, cs nya sigap mbak windy. sangat membantu saya untuk aktivasi livin",2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,"pelayanan baik, ramah dan cepat. terima kasih bank mandiri jakarta kebon jeruk",2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,"teller dan csnya ramah, melayani dengan baik.",2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,"pelayanannya baik, seluruh karyawan ramah2 dari pimpinan sampai karyawan lainnya, terima kasih ya buat cs mbak windy",2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,customer service sangat ramah,2
Bank Mandiri KCP Jakarta Kebon Jeruk,5,"saya sudah tua, selalu maunya sama mbak windy baik sabar sekali",2
Bank Mandiri KCP Jakarta Kebon Jeruk,2,sekarang pelayanan nya tidak ramah kepala cabang nya enggak ramah tidak seperti sebelumnya,0
Bank Mandiri KCP Jakarta Kebon Jeruk,5,"ramah, sangat membantu dan murah senyum",2
