Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,pelayanan oke,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,"pelayanannya sangat bagus,ramah,cekatan dan sangat baik. prosesnya cepat dan memuaskan.",2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,"cabangnya bersih, pelayanannya ramah",2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,"pegawai ramah, mudah dipahami, ruangannya juga bersih, dan rapi",2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,"pelayanan nya baik,",2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,pelayanan terbaik petugas nya ramah,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,"security ramah dan sopan, pelayanan ok dan best",2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,"the best, pelayanan nya ramah dan bikin nyaman",2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,"pelayanan yang terbaik, semua karyawannya ramah dan baik",2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,pelyanannya cepat dan ramah,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,wah sangat ramah sekali apalagi security nya keren,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,"pelayanan cepat, sangat ramah, mantab",2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,pelayanan yang sangat baik,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,pelayanannya oke banget,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat membantuku,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,"salah satu cabang mandiri yang bagus banget pelayanannya dijakbar, teller ramah edukatif sekali & cs juga baik baik, recomended",2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,pelayanan ramah dan super cepat,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,pelayanannya bagus. cs sama teller nya ramah ramah,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,"nyaman banget ke mandiri cabang ini. stafnya ramah, pelayanannya dijelaskan dengan baik dan cepat.",2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,"sebagai nasabah saya sangat puas dengan pelayanan di bank mandiri jakarta cabang kebon jeruk i. stafnya ramah, profesional, dan selalu siap membantu. proses transaksi juga cepat dan fasilitas yang tersedia sangat mendukung kebutuhan perbankan saya.",2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,petatsunya ramah.rangan [nya] itu orangnya.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,satpam nya okeh keren pelayanan nya teller nya cekatan cs nya cepat pelayanannya,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,pelayanan ramah tempat nyaman dekat kalo kita mau beli sparepart motor,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,cabang-cabangnya bersih dan harum,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,mantap!!,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,"oke banget lah pelayanannya, jaya terus bank mandiri",2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,"tempat nyaman, ac dingin. cs dan teller sangat ramah dan security sigap dalam membantu",2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,layan nya keren,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,"pelayanannya excellent, pegawainya ramah dan sangat membantu. jaya terus bank mandiri",2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,saya hanya ke atm saja,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,mantap pelayanan,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,"pelayanan oke, sekurity, cs dan teller ramah",2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,pelayanan mantap,2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,"pelayanan oke, cs ramah, tanggap keamanan",2
Bank Mandiri KCP Jakarta Kebon Jeruk III,5,sangat puas dengan pelayanan yang diberikan.,2
