Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,"pelayanan bagus, cs nya baik-baik dan bersahabat, tempatnya bersih",2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,1,pelayanan yang buruk. penjelasan mengenai tidak bisa tuker uang baru. dan harus ke bi pintar. setelah coba melakukan download ke playstore tidak bisa. dikasih link oleh teller yang bernama selvi. setelah dikasih link untuk mencoba masuk tapi,0
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,the best,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,"pelayanan baik, bagus dan cabang bersih",2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,"saya puas dengan layanan di bank mandiri ini,cepat tanggap,sigap & langsung diproses,tidak perlu tunggu lama,trima kasih bank mandiri,sukses selalu",2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,baik,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,"pelayanan memuaskan, konfirmasi cepat tempat nya bersih",2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,good,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,teller nya baik pelayanan nya ramah the best pokok nya terima kasih mandiri.,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,"sangat ramah pelayanannya,serta mudah",2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,"keren banget sih cabang nya , sangat membantu jika ada nasabah yang datang , top pokok nya mah",2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,terima kasih sudah dibantu dengan baik,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,"pelayanan baik security, cs dan teller. cabang bersih dan rapih",2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,"antriannya cepet,jd enggak lama nunggu.",2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,cabang-cabangnya harum,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,ruangan bersih dan cs serta teller ramah,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,ruangan nyaman dan bersih,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,ruangan nyaman dan bersih,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,"layanan akselent, helpingl, ramah, menyenangkan, transaksi menjadi lebih mulah dan kahman",2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,"pelayanan sangat memuaskan, tempatnya juga nyaman dan bersih",2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,staf nya ramah dan pelayanan nya cepat,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,pelayan ok,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,"saya sebagai nasabah bank mandiri di cab jakarta kbn jeruk perjuangan pelayanan nya baik, ramah, sopan,",2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,ruangan bersih dan nyaman,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,"pelayanannya bagus, namanya bu lidya",2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,"cepat tanggap, sopan dalam pelayanan customer merasa nyaman",2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,very good service,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,"ruangan nya bersih, satpam nya ramah tamah dan dilayani customer service dengan ramah dan cepat serta akurat",2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,"ruangan bersih dan nyaman. semua staff dari cs, marketing dan security sangat membantu, ramah dan sigap. very recommended",2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,pelayanan nya ramah dan cepat,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,bersoh & cepat,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,cs nya baik n ramah banget a.n dwi azifa febriany,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,cabangnya bersih dan staff nya ramah,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,cabang bersih dan nyaman,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,pelayanannya terbaik,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,cabang bersih dan nyaman,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,tempatnya bersih dan karyawannya ramah,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,"pelayanan cepat, orangnya juga baik baik",2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,"pelayanan sangat baik, ramah, dan cepat",2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,"pelayanan sangat baik ,, ramah dan cepat ,, terima kasih atas pelayanan yang di berikan",2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kebon Jeruk Perjuangan,5,sangat puas dengan pelayanan yang diberikan.,2
