Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kedoya,5,"cetak rekening koran ke ibu mercy , pelayanan sangat memuaskan",2
Bank Mandiri KCP Jakarta Kedoya,5,buka rekening ke kak mercy oke,2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanannya baik dan cepat.,2
Bank Mandiri KCP Jakarta Kedoya,5,memudahkan proses pergantian atau kehilangan kartu atm. terima kasih ibu mercy isabella cs mandiri baik dan ramah,2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanannya bagus dan cepat,2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanan sangat baik dan puas costumer service,2
Bank Mandiri KCP Jakarta Kedoya,5,"ganti kartu etoll di mandiri cabang kedoya green garden,pelayanan nya cepat dan gesit,para staff nya pun ramah2..terima kasih untuk kak mira apriyanti yang sudah banyak membantu untuk kelancaran transaksi nya .",2
Bank Mandiri KCP Jakarta Kedoya,5,"pelayanan baik, mbak nya ramah banget",2
Bank Mandiri KCP Jakarta Kedoya,5,menyenangkan.. ramah dan sangat membantu saya,2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanan dengan ibu mira sangat memuaskan sekali,2
Bank Mandiri KCP Jakarta Kedoya,5,"pelayanan ramah, proses cepat terimakasih",2
Bank Mandiri KCP Jakarta Kedoya,5,pelayananya sangat ramah dan membsntu,2
Bank Mandiri KCP Jakarta Kedoya,5,mercy isabella sangat membantu untuk pengambilan kartu dan login hidup saya kembali.,2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanan baik dan ramah. mantap,2
Bank Mandiri KCP Jakarta Kedoya,5,terima kasih telah membantu pembuaan rekening,2
Bank Mandiri KCP Jakarta Kedoya,5,ganti gartu atm dengan mbak mercy dengan penjelasan yang rinci dan mantap,2
Bank Mandiri KCP Jakarta Kedoya,5,trimakasih mbak mercy isabella sudah bantu pembukaan rekening ..,2
Bank Mandiri KCP Jakarta Kedoya,5,ganti kartu di sama kak mercy ok banget,2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanan cs mbak mercy terbaik! ganti atm okee,2
Bank Mandiri KCP Jakarta Kedoya,5,terima kasih pelayanan nya baik dan memuas kan di sambut oleh kak mira apriyanti,2
Bank Mandiri KCP Jakarta Kedoya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanannya baik dan sabar. sehat selalu,2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanan cs oleh mbak mira apriyanti sangat memuaskan dan ramah,2
Bank Mandiri KCP Jakarta Kedoya,5,keamanan sangat ramah dan layanan pelanggan nya,2
Bank Mandiri KCP Jakarta Kedoya,5,cs mbak mira sangat ramah sangat membantu,2
Bank Mandiri KCP Jakarta Kedoya,5,terimakasih banyak mbak mira apriyanti pelayanannya sangat bagus membantu dengan sabar sukses terus mbak mira kerjanya lancar.,2
Bank Mandiri KCP Jakarta Kedoya,5,mbak mercy oke bgt. sangat membantu.,2
Bank Mandiri KCP Jakarta Kedoya,5,terima kasih pelayanannya mbak mira sudah membantu pergantian kartu.,2
Bank Mandiri KCP Jakarta Kedoya,5,trimakasih pelayanannya mbak mira sudah mmbantu saya perihal tarik uang di atm tidak keluar dengan sabar dan sangat ramah sukses dan lancar terus mbak mira di mandiri.,2
Bank Mandiri KCP Jakarta Kedoya,5,"terima kasih pelayanan cs, ramah dan sabar. keren",2
Bank Mandiri KCP Jakarta Kedoya,5,rama pelayanan ok,2
Bank Mandiri KCP Jakarta Kedoya,5,stabil,2
Bank Mandiri KCP Jakarta Kedoya,5,baik dan ramah,2
Bank Mandiri KCP Jakarta Kedoya,5,"dengan cs mira apriyanti, pelayanan sangat baik (helpful)",2
Bank Mandiri KCP Jakarta Kedoya,5,terima kasih mbak mira sudah membantu saya untuk membuka rekening mandiri dan mengaktifkan kembali living mandiri saya .. best.,2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Kedoya,5,layanan nya cs nya baik mbak mercy,2
Bank Mandiri KCP Jakarta Kedoya,5,cs dan teller ramah dan pelayanan cepat,2
Bank Mandiri KCP Jakarta Kedoya,5,"pelayanannya baik, ramah, dan cepat. terima kasih untuk mbak mira apriyanti sudah membantu prosesnya.",2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanan cepat dan baik,2
Bank Mandiri KCP Jakarta Kedoya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kedoya,5,"kak mira apriyanti sangaat ramahh dan lembut dalam berbicara, terimakasih kak hospotnyaa.. maaf ya",2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanan baik trimakasih kak mira,2
Bank Mandiri KCP Jakarta Kedoya,5,"saya suka layanan dari mrs mercy isabella, dia begitu baik .",2
Bank Mandiri KCP Jakarta Kedoya,5,terima kasih mbak mira atas pelayanannya sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Kedoya,5,untuk kak mira baik ramah cantik,2
Bank Mandiri KCP Jakarta Kedoya,5,"pelayanana keren, bu mira ramah polling",2
Bank Mandiri KCP Jakarta Kedoya,5,"satpam dan cs ramah, sangat terbantu",2
Bank Mandiri KCP Jakarta Kedoya,5,terimakasih pelayanannya mbak mira sangat sabar menjelaskan kebutuhan perbankan saya dari awal buka rekening sampai selesai keren mbak mira lancar terus semoga sukses mbak mira.,2
Bank Mandiri KCP Jakarta Kedoya,5,"terima kasih mbak mira apriyanti, untuk pelayanan yang sangat baik, ramah dan menjelaskan dengan detail mengenai kpr",2
Bank Mandiri KCP Jakarta Kedoya,5,"thx you kak mira apriyanti sudah membantu saya untuk livin mandiri , top habis",2
Bank Mandiri KCP Jakarta Kedoya,5,mantap,2
Bank Mandiri KCP Jakarta Kedoya,5,"cs mira orangnya ramah dan sangat membantu, bagus pelayanannya",2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanan dengan cs kak mira sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Kedoya,5,"dibantu oleh mbak mira apriyanti saat pemblokiran nomor, penjelasannya pun mudah dipahami n sangat ramahh",2
Bank Mandiri KCP Jakarta Kedoya,5,"transaksi di mandiri cabang kedoya sangat nyaman, cs nya baik hati dan ramah, transaksinya dipermudah. thanks kakak mira",2
Bank Mandiri KCP Jakarta Kedoya,5,bu mira memberikan layanan besar & konsultasi,2
Bank Mandiri KCP Jakarta Kedoya,5,"aku dilayani oleh cs mira apriyanti, sangat baik, sabar, telaten, dan penjelasanya mudah dipahami. terimakasih mandiri",2
Bank Mandiri KCP Jakarta Kedoya,5,"dibantu kak mira, baik banget dan sangat informatif",2
Bank Mandiri KCP Jakarta Kedoya,5,"terima kasih mbak mira atas pelayanannya, bagus dan cepat.",2
Bank Mandiri KCP Jakarta Kedoya,5,"pelayanan nya sangat ramah, dan baik apa saja yang ditanyakan dapat di jawab dengan jelas dan dapat di pahami cs : mira apriyani",2
Bank Mandiri KCP Jakarta Kedoya,5,sangat ramah dan penyampaian jelas perihal kepentingan yang dibutuhkan cs: mira apriyani,2
Bank Mandiri KCP Jakarta Kedoya,5,terimakasih mbak mira apriyanti saya sudah di bantu dan di rekomendasikan pengambilan motor baru,2
Bank Mandiri KCP Jakarta Kedoya,5,"pelayanan baik, ramah, sabar penjelasan detail dengan kak mira apriyanti",2
Bank Mandiri KCP Jakarta Kedoya,5,"terima kasih atas pelayananmu,kk mercy ..",2
Bank Mandiri KCP Jakarta Kedoya,5,"pelayanannya super ramah banget , sangat informatif banget pelayanannya dengan kak mira apriyanti",2
Bank Mandiri KCP Jakarta Kedoya,5,pokoknya the best pelayanannya,2
Bank Mandiri KCP Jakarta Kedoya,5,mbak cs nya baik dan ramah pelayanan cepat enggak menunggu lama,2
Bank Mandiri KCP Jakarta Kedoya,5,"mbak mira apriyanti terimakasih pelayanannya sangat memuaskan, cepat dalam penanganan keluhan dari nasabah",2
Bank Mandiri KCP Jakarta Kedoya,5,untuk pelayanan ramah dan sangat membantu. terima kasih kak mira,2
Bank Mandiri KCP Jakarta Kedoya,5,cs mbak mira sudah membantu untuk penanganan dari bank mandiri cabang kedoya baik dan bisa membantu saya untuk menyelesaikan pembuatan kartu atm,2
Bank Mandiri KCP Jakarta Kedoya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanannya oke banget.,2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanannya ramah dan sopan,2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanan bagus dan cepat dengan kak mira apriyanti,2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanannya sangat ramah dan penjelasannya sangat membantu,2
Bank Mandiri KCP Jakarta Kedoya,5,"pelayanan cs kakak mercy sangat bangus, ramah, dan juga cepat,",2
Bank Mandiri KCP Jakarta Kedoya,5,"pelayanan bu mira apriyanti sangat jelas n ramah , terima kasih atas pelayanannya yang nyaman n sangat baik",2
Bank Mandiri KCP Jakarta Kedoya,5,"service baik,ramah",2
Bank Mandiri KCP Jakarta Kedoya,5,"mantap pelayanan baik dan cepat, ramah juga",2
Bank Mandiri KCP Jakarta Kedoya,5,layanan pemurah,2
Bank Mandiri KCP Jakarta Kedoya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kedoya,5,"saya dilayani di cs mira, pelayanannya baik, ramah & tanggap, terima kasih",2
Bank Mandiri KCP Jakarta Kedoya,5,"pelayanan cs, bu mira, sangat baik dan profesional",2
Bank Mandiri KCP Jakarta Kedoya,5,"pembuatan rekening baru nya sangat cepat, para staff ramah dan sopan dalam melayani calon nasabah",2
Bank Mandiri KCP Jakarta Kedoya,5,terimakasih pelayanannya mbak mira sangat sabar membantu saya mengganti kartu expired n log ini livin dengan sangat sopan.lancar selalu mbak mira krja dimandiri semoga makin sukses dunia n akhirat.,2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanan baik dengan bu mira,2
Bank Mandiri KCP Jakarta Kedoya,5,"terima kasih mbak mira apriyanti , orangnya sabar dan menjelaskan dengan baik",2
Bank Mandiri KCP Jakarta Kedoya,5,ramah baik hati lucu,2
Bank Mandiri KCP Jakarta Kedoya,5,sangat bagus pelayanannya,2
Bank Mandiri KCP Jakarta Kedoya,5,bagus banget #safyahrahmawati cantik banget mashaallah tabarakallah alhamdulillah allah huakbar #rahmat isabella cantik,2
Bank Mandiri KCP Jakarta Kedoya,5,terimakasih untuk pelayanan dari mbak mira yang sudah membantu saya mengganti kartu dan mengupdate data pribadi.,2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanan ramah terimakasih mbak mira,2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanan ramah dan sesuai sop,2
Bank Mandiri KCP Jakarta Kedoya,5,"terimakasih pembuatan rekening cepat,pelayanan ramah.top",2
Bank Mandiri KCP Jakarta Kedoya,5,terimakasih pelayanan nya sangat mbak mira,2
Bank Mandiri KCP Jakarta Kedoya,5,"terima kak mira, layanan yang baik dan ramah .",2
Bank Mandiri KCP Jakarta Kedoya,5,satpam nya ramah & pelayanan teller nya juga ramah. good service untuk cabang ini.,2
Bank Mandiri KCP Jakarta Kedoya,5,terimakasih atas pelayanan dan penjelasan nya yang sangat membantu mbak mira,2
Bank Mandiri KCP Jakarta Kedoya,5,"terimakasih mbak mira atas pelayanan nya, sangat membantu dan sangat ramah",2
Bank Mandiri KCP Jakarta Kedoya,5,trimakasih pelayanannya mbak mira membantu saya dengan baik sabar dan nyaman padahal saya hanya buka blokir saja. sukses terus buat mbak mira. tq,2
Bank Mandiri KCP Jakarta Kedoya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kedoya,5,"terimakasih pelayanannya, sudah di bantu dengan mbak mira untuk memperpanjang kartu",2
Bank Mandiri KCP Jakarta Kedoya,5,layanan cs (mira) baik n cepat.maju terus bank mandiri,2
Bank Mandiri KCP Jakarta Kedoya,5,"siap , pelayanan ok",2
Bank Mandiri KCP Jakarta Kedoya,5,"terimakasih kak mira,sudah menjelaskan dengan baik.. pelayanan nya ramah mdah di mengerti.",2
Bank Mandiri KCP Jakarta Kedoya,5,besar membantu oleh mbak mira aporyanti. cepat respon dan informasi yang jelas!,2
Bank Mandiri KCP Jakarta Kedoya,5,pelayana bagus sekali dengan mbak mira,2
Bank Mandiri KCP Jakarta Kedoya,5,"terima kasih mbak mira , bantuan kcp disini amanah cepat dan tepat .. keren sih pelayanan disini the best tidak mengecewakam",2
Bank Mandiri KCP Jakarta Kedoya,5,"terima kasih mbak mira pelayanannya keren , amanah , mantab markotop",2
Bank Mandiri KCP Jakarta Kedoya,5,terima kasih telah membantu dan melayani dengan baik,2
Bank Mandiri KCP Jakarta Kedoya,5,good ramah cs nya,2
Bank Mandiri KCP Jakarta Kedoya,5,"pelayanan nya sangat cepat,baik",2
Bank Mandiri KCP Jakarta Kedoya,5,"terimakasih bank mandiri, dan kak mira apriyanti atas pelayanan nya kerajaan nya",2
Bank Mandiri KCP Jakarta Kedoya,5,"pelayanan cs atas nama mira apriyanti cepat, ramah",2
Bank Mandiri KCP Jakarta Kedoya,5,"nyaman, dan cepat pelayanannya",2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanan nya oke,2
Bank Mandiri KCP Jakarta Kedoya,5,pelayan baik sangat terbantu mbak mira,2
Bank Mandiri KCP Jakarta Kedoya,5,"terima kasih layanan baik , mbak maira juga jelasin dengan jelas dan ramah",2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanan sangat bagus dan cepat,2
Bank Mandiri KCP Jakarta Kedoya,5,cepat dan pelayanan yang hebat.,2
Bank Mandiri KCP Jakarta Kedoya,5,"pelayanan dengan kak mira apriyanti di mandiri cabang kedoya sangat ramah, pelayanan sangat baik,,",2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Kedoya,5,good survey mbak mira,2
Bank Mandiri KCP Jakarta Kedoya,5,"baik dan sopan dalam melayani nasabah, mudah dimengerti dalam penjelasannya",2
Bank Mandiri KCP Jakarta Kedoya,5,bagus,2
Bank Mandiri KCP Jakarta Kedoya,5,terimakasih pelayanannya .. untuk cs atas nama mira ..,2
Bank Mandiri KCP Jakarta Kedoya,5,cs dengan mira membantu mencetak tab terbuka,2
Bank Mandiri KCP Jakarta Kedoya,5,ok,2
Bank Mandiri KCP Jakarta Kedoya,5,dengan mbak alfi .. layanan yang baik,2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanannya bagus cepat tanggap suka dengan custumer service self service,2
Bank Mandiri KCP Jakarta Kedoya,5,"terima kasih!! pelayanan sangat membantu, dan cepat! intinya kalau data datanya lengkap cepat selesai,, sangat memuaskan customer!",2
Bank Mandiri KCP Jakarta Kedoya,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Kedoya,5,sangat puas dengan pelayanan yang diberikan.,2
