Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kelapa Dua,5,"pelayanan baik, ramah dan sangat cepat'",2
Bank Mandiri KCP Jakarta Kelapa Dua,5,"untuk pelayanannya bagus, security dan csnya sangat sopan",2
Bank Mandiri KCP Jakarta Kelapa Dua,5,pelayanan di yeller baik,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,"mantab banget pelayanan dari kakak rizki dan ibu siti, sangat membantu banget di best deh mandiri",2
Bank Mandiri KCP Jakarta Kelapa Dua,5,terbaiq,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,"pelayanannya baik ,lumayan membantu saat kesana , cs dan securitynya ramah",2
Bank Mandiri KCP Jakarta Kelapa Dua,5,"semua staff di sini ramah"" semua. dan pelayanan nya juga cepat.",2
Bank Mandiri KCP Jakarta Kelapa Dua,5,csnya ramah sekali,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,cs nya ramah,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,pelayanan cepat & ramah.,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,mantap.. pegawainya ramah ramah,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,layanannya ramah dan cepat,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,pelanyananya baik ramah,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,"antrian cepet, ada problem juga langsung dihandle cepat",2
Bank Mandiri KCP Jakarta Kelapa Dua,5,cs nya ramah ramah dan tempatnya nyaman.. sukses terus bank mandiri kelapa dua,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,pelayanan sangat bagus dan ramah,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,pelayannya baik,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,pelayanan sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,"alhamdulillah kesulitan saya teratasi,pelayanan juga bagus dibantu juga via wa. sukses selalu.",2
Bank Mandiri KCP Jakarta Kelapa Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,ramah dan lokasi strategis,2
Bank Mandiri KCP Jakarta Kelapa Dua,4,pelayanan cukup baik dan memuaskan.,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,pelayanannya ramah dan sangat membantu,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,"asli sih kantor mandiri paling nyaman, dari security, cs, teller, padah ramah sama informatif semua.",2
Bank Mandiri KCP Jakarta Kelapa Dua,5,pelayanan baik dan staff sangat ramah.,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,"pelayanannya ramah, gercep juga, top deh",2
Bank Mandiri KCP Jakarta Kelapa Dua,5,pegawai pegawainya baik baik,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,"pelayanannya sangat ramah , orang orang baik juga",2
Bank Mandiri KCP Jakarta Kelapa Dua,5,"tempat tunggunya nyaman, ruangannya dingin dan wangi. pegawai-pegawainya juga ramah dan baik.",2
Bank Mandiri KCP Jakarta Kelapa Dua,5,"pelayanan baik, cepat, dan ramah-ramah.",2
Bank Mandiri KCP Jakarta Kelapa Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,pelayanannya bagus. orangnya ramah ramah dan membantu nasabah,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,sangat puas dengan pelayanan dan keramahan nya,2
Bank Mandiri KCP Jakarta Kelapa Dua,5,terima kasih ibu via atas pelayanannya,2
