Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kelapa Gading Barat,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,good,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,telernya ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,"kerenn, ramah cocok buat bank anak muda",2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,pelayanannya terbaik,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,mantap,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,good,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,pelayanan oke,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,nyaman,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,"pelayanan baik, ramah",2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,baru buka rek di layanin dengan baiik dengan mbak lisa dan pak denda.. pokoknya sanngat2 baik dan ramah sehat selalu,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,kueu,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,"teller nya pelayanan cepat, nyaman transaksi disini",2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,sangat puas pelayanan nya,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,"pelayanan nya ramah, bersih, dan nyaman",2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,pelayanannya terbaik,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,"pengalaman masuk mandiri kelapa gading barat disambut dengan ramah, sopan dan cepat",2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,pelayanannya terbaik,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,telernya ramah pelayanan bagus top,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,cs security teller nya ramah dan membantu,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,wewangiannya cepat dibersihkan,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,wangi bersih,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,wangi bersih cepat,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,mukah dan terpercaya pilitan nasabah,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,"wangi, bersih, pelayanan cepat",2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,mantap,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,cepat mudah dan tertib,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,wangi bersih rapi,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,wangi bersih,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,sekuriti dan cs nya ramah2.ruangan bersih,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,"pelayanan maksimal, tempat nyaman, makanan enakk",2
Bank Mandiri KCP Jakarta Kelapa Gading Barat,5,sangat puas dengan pelayanan yang diberikan.,2
