Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,sangat baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,telernya ramah cepat,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,best cabang mandiri sekelapa gading,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayananya memuaskan. good job,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanan oke,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanan baik dan ramah tellernya,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"pelayan baik bersih teller ramah,masukan tolong sediakan kopi dan camilan snack terima kasih",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanan cs ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,karyawan nya ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,ramah tamah tellernya cantik juga,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,layanan nya oke. security nya ramah banget,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,ramah securitynya,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"pelayanan cepat dan mudah, cs ramah dan cepat tanggap",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,tempat nya nyaman,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,terimakasi pelayanan sangat memuaskan dan sangat bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"pelayanan cpt, petsutasnya ramah ramah",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanannya memuaskan dan cepat,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanan memuaskan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"pelayanan sangatlah baik,ramah dan teler cepat menyelesaikan dengan cepat sekali.terima kasih banyak bank mandiri bolvard",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,1,pelayanan buruk,0
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,layanan nya sangat baik dan memuaskan,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,teller nya baik sekali dan pelayanannya bagus super wow,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,1,"parah tuker uang kecil di bank mandiri enggak pernah ada, padahal saya nasabah bank mandiri",0
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,1,meminta tolong banget pelayanannya di percepat.,0
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"pelayanan nya baik, dari mulai satpam, petugas sampai teller",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,teller nya sangat ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"teler ramah ,sopan dan cantik ibu jeane ester",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanan baik dan ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,cs & teller nya baik-baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,1,antrian ke 4 untuk ke teller tapi nunggunya 1 jam lebih. luar biasa lamanya cabang ini,0
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,prosesnya cepat dan pelayanannya ok,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,seluruh personil karyawan nya help full terhadap nasabah. mantap,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,thanx,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanan prioritas cukup baik dan ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"baru kali ini dtng ke cab mandiri karyawan dan security nya ramah2 dan amat sangat cekatan dalam melayani nasabah,,tempatnya juga bersih dan nyaman..thanks",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"pelayanan disini sangat bagus sekali,,pegawai dan satpampun sangat ramah dan cekatan dalam melayani nasabah,,tempatnya pun bersih dan nyaman.top",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,4,penyayannya cepat dan gersep sesuai keperluan adang taksi yang baru jadi man,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,2,"pelayanannya luama sekali untuk cs, saya menunggu lebih dari 2 jam , padahal customer sebelum saya hanya sekitar 2-3 orang.",0
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,mbak jeane teller nya baik ramah pelayanannya cepat dan tidak ada kesalahan/ koreksi,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanannya baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"pelayanan ok,",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanan sangat memuaskan,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,alhamdulillah baik ramah & sopan,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,sangat cepat dan rapi,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,tambah mantap nih kcp boulevard kelapa gading ..,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"teller, cs pelayananya bagus terutama securiti nya gercep dan ramah kantor cabangnya pun bersih dan wangi",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,telernya ramah dan securitynya ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,4,pelayanan cukup baik dan memuaskan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"pelayanan cepat ramah, sopan, tamah telernya",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"tellernya ramah, sangat membantu, dan securitynya juga baik,overall oke",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,great,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanan bagus kalo bisa untuk pengajuan kum bunganya di kecilin lagi pasti lebih oke samain sama kur,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanan nya mas rian sangat baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanan yang luar biasa,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,playanan bagus cabang nyaman dan baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,playanan ramah bagus.security ramah membantu nasabah,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,bagus sekali.security well peduli dan cepat membantu nasabah,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayan nya ramah dan sopan..,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,csnya ramah dan cantik.. terima kasih mbak resti,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanannya bagus..,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"pelayanannya sangat baik dan sopan dan nyaman,, ..dipertahankan terus pelayannya",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"pelayanan mas rian sangat ramah dan sangat baik.. sudah cakep, manis senyumnya loph banget buat mas rian",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanan sangat prima dan ramah. terutama salah satu cs nya mas andriansyah,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,tempat bersih. pelayanan ramah. cs nya sabar dalam mengahadapi costumer,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,tempat nya bagus wangi nyaman,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,itu bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,cs baik dan ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,mas andrian angat dan baik dalam pelilayan..,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,4,"ruangan bersih pelayanan ok tapi ya gitu, durasi tunggu yang begitu lama . semoga ada jalan terbaik agar durasi tunggunya enggak lama .",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,petugas satpam ramah mempermudah nasabah dan karyawan gamblang menerangkan,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,stafnya sangat baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanan keren dan cepat,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,[ gambar di hlm.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,ramah banget semuanya :*,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,1,pelayanan customer service nya mengecewakan karena terlalu lama. perlu ditingkatkan lagi dari sisi durasi pelayananan,0
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,1,"jangan kesini,pelayanan nya jelek bgt!cs nya enggak komunikatif,yg nglayanin satpam n lebih baik satpam dari pada cs nya.",0
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"untuk pelayanan mulai dari security ramah2, fast respon, pelayanan di teller sangat ramah, diarahkan dengan baik setiap transaksi dan memuaskan, untuk cs juga ramah dan sangat membantu. tempatnya sangat ok , jadi waktu tunggu antrian tidak berasa lama. ini cabang bank mandiri ter-best lah yang paling sering saya kunjungi",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"pelayanan bagus, tellernya juga ramah ramah, mantap deh",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"tempat nya bersih, cs nya ramah, salam buat mbak jeane",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"pelayanan memuaskan. apalagi dengan mbak ineu dan mbak ratna, the best",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"security ramah, pelayanan cs dan teller nya juga ramah dan oke",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,"tempatnya bersih, semua pelayanan baik dan ramah, cs dan teller cantik-cantik",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar,5,pelayanan ramah dan nyaman,2
