Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,penggantian hp livin lancar,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,pelayanan bagus.trx lancar,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,aktivasi livin sudah selesai,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,teller nya ramah baik hati,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,"pelayanan sangat cepat , dan teller nya sangat ramah",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,pelayanan sangat bagus ramah mantap,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,mandiri mnurut saya bagus dan pelayanan nya pun sangat baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,"pelayanannya sangat baik, ramah, solutif",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,pembukaan rek online cepat,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,penerbitan atm cepat,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,pegawainya ramah ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,"pegawainya ramah, dan penjelasanya baik",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,pegawainya ramah2,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,staf yang ramah beraroma bersih,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,mantabs.. terima kasih pak,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,pegawainya ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,ramah baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,pelayanan nya bagus pegawai nya ramah ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,"pegawainya ramah2 , pelayanan nya oke dibantuin banget .",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,pelayanan cs bagus dan cepat terselesaikan,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,trx cs cepat,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,trx cs cepat. kendala livin terselesaikan,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,cabang bersih cs nya ramah2,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,sat set ges pelayanannya cabang kelapa gading bulevard timur jaya terus,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,layanan cs cepat,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,cs nya restu ramah sekali,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,trx pembukaan rekening cepat.pelayanan cs cepat,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,cs nya ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,proses layanan ok,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,layanan cepat,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,layanan ok,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,"trx iancar, cab oke",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,buka rek lancar.cepat,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,pelayananya bagu dan rama,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,keamanan pelayanan dan cs ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,"teler nya ibu resty puspita sari sangat bagus dan luar biasa, sangat he",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,trx cepat.gaji ok,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,pembukaan rekening nya cepat,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,pelayanan cukup bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,"pelayanan nya bagus, pegawainya ramah dan kantornya bersih",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,"pelayanannya bagus, pegawainya ramah dan tempat bersih",2
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,1,"hari ini rabu, 26 februari 2024 pukul 13:30 sehabis setor uang di teller dengan nama theresia dan saat masuk di lantai 1 sudah bau rokok sampai ke lantai 2 teller.",0
Bank Mandiri KCP Jakarta Kelapa Gading Bolevar Timur,5,"teller nta baik, cepat, dan ramah juga",2
