Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,sangat ramah dan santun,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,"cepat, dekat kantor,",2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,mantap,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,mandiri inkopal teller nya ramah . sukses terus untuk mandiri inkopal mbak siti sukses ya,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,"halo , cab boulevard barat bank mandiri,, bagus service nya staff nya rizky maulana pratama ramah tamah, kerjanya cepat serius staff nya semua nya ramah tamah",2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,pelayanan nya baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,bank mandiri inkopal kelapa gading,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,cepat dan teliti,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,terima kasih atas pelayanan yang oke dan semoga sukses terus,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,pelayanannya sangat bagus dan memuaskan,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,"enggak sia sia datang ke cabang ini pelayanan nya cepat dan ada solusi, pelayanannya juga cepat banget",2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,pelayanannya ramah dan sopan,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,"baik,ramah,kasih solusi dan pelayanan nya bagus",2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,palanyananya sangat baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,cs nya ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,"pelayanan ramah, bisa tukar uang rusak juga di teller",2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,pelayanan nya ramah.,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,"tempat yang nyaman disertai pelayanan yang bagus, recomend deh",2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,pelayanan sangat bak,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,"pelayanan sangat baik dan ramah , ada solusi untuk atm rusak bisa ambil di teler",2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Inkopal,5,pelayanannya sangat bagus,2
