Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,good,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,"pelayananya bagus,ramah",2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,terima kasih pelayanannya bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,"tempat bersih, pelayanan cepat cs ramah",2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,terima kasih saya sangat terbantu,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,"cs dan teller nya ramah dan cantik, security nya sangat membantu saya",2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pegawainya ramah-ramah sekali,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanan sangat baik.ramah2.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanannya bagus dan cepatt,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,terima kasih atas bantuannya pelayanannya baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,terima kasih atas bantuannya layanannya bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanannya terima kasih,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanannya,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanannya bagus saya sangat terbantu terima kasih banyak,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,"ramah semua mantap, pelayanannya bagus",2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,1,pelayanan buat cairin deposito hampir 1 jam lebih. ini pun belum dilayanin juga. cs 1 orang teller 1 orang. gmana ni.. ngabisin waktu doang di bank,0
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,"pelayanannya bagus, cepat, ramahh",2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanannya baik dan ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanan top,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,cs & tellernya ramah semua. best,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,ok,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,"pelayanan sangat ramah, dan pengaduan cepat respon nya. terima kasih.",2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,"pelayanan security, teller dan cs sangat ramah dan baik",2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanannya bagus dan cepat.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,"pak securitynya baik mau bantu menjelaskan juga, jadi saya tidak bulak balik deh.",2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,securitynya menjelaskannya ramah dan jelas. sangat membantu,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,terimakasih atas pelayanannya.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,mantab pelayanannya.pertahankan ya,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanan nya cukup baik dan cepat tks.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanannya ramah ruangan cukup bersih,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat membantu dan ramah sekali,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,frontlinernya bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,"pelayanan cepat dan baik, recomend kalo urus kartu kesini",2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat baik dan memiaskan,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,bagus buat pelayanan custamer,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,hari sabtu buka enggak ya,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,"security, pelayanan nya sigap dan ramah teller , transaksi nya cepat dan ramah cs. csnya baik dan ramah",2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,"pelayanannya baik, cepat dan ramah",2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,"mantap, teller nya ramah"" baik melayani sepenuh hati",2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,"pelayanannya oke bgt, terus adem ruangannya",2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanannya bagus dan ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanan teller ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanannya baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,"teller ramah baik nya, dan security nya ramah baik",2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanannya baik dan sangat memuaskan,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,penyayannya baik-baik saja .,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,"csnya super ramahh, tempatnya dingiin dan enggak terlalu ramee. mantull",2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,bagus bagus bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,2,"saya dan teman sengaja datang pagi dapat no 1 dan 2 disambusbut keamanan yang ramah, namun sayangnya cs hanya 1 orang sedang melayani 1 pelanggan hampir dari 40menit belum slsi, petugas lain pedk terkesan cuek, dan anmi langian yginppunyerah, alhasil sy.",0
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,siip daach.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,1,"parah pelayanannya, tunggu berjam-jam. yang kerja teller hanya 1 orang & yang 1 lagi sarapan. aneh . kenapa jam kerja bisa sarapan?",0
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,"pelayanannya welcome,ramah,cekatan,dan baik",2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,teller bank yang namanya nurul cekatan banget bisa menjawah semua pertanyaan yang di tanyakan custumer walau sebenarnya kan cs tapi bertanya ke teller juga bisa jawab,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,"sangat baik dan teller nya ramah, ac nya dingin juga.",2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,layanan yang sangat baik!,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,pelayanannya baik dan ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Nirwana,5,"pelayanan security, teller dan csnya baik. dekat dan enggak perlu antri lama",2
