Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kelapa Gading Square,1,"teller atas nama dhea & reisa judes, enggak ada senyumnya, enggak ada ramah""nya. memang enggak di training ya bagaimana caranya melayani, minimal senyumlah.",0
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,jos,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,teler nya ramah2 dan baik hati suka menolong,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,di bantu buka rekening cepat banget sama security-nya,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,sangat membantu,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,tellernya ramah dan baik. cs nya super ramah best,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,pelayanannya terbaik,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,terbaik,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,"untuk pelayanan di bank mandiri kcp kelapa gading square ramah ramah banget, dan pelayanannya untuk teller dan cs sat set, terima kasih semuanya , terutama untuk mbak dhea dan mbak efah yang selalu membantu,",2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,sangat dipermudah transaksinya,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,pelayanan bagus dan cepat,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,pelayanan nya ramah dan cepat. teller nya juga ramah2,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,bagus pelayanannya cs dan teller,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,teller nya cantik baik hati dan tidak sombong,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,pelayanan nya baik.. teller nya ramah..,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,pelayanan teller nya cepat baik dan ramah ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,"teller atas nama reisa sangat ramah, membantu customer, menjelaskan dengan baik. good job pertahankan kualitas nya",2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,bagus pelayanan,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,pegawainya rama semua,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,"pelayanan teller baik,sangat ramah",2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,bagus dan ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,pelayanan teller baik dan ramah,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,"pelayanan teller baik, sangat ramah dan membantu",2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,tellernya mandiri moi squer ramah ramah dan baik baik mantap,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,pelayananya bagus,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,good,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,"pelayanannya baik,teller ramah,cs nya oke,,pokoknya puas dengan pelayanannya",2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,pelayanan nya bagus dan cepat,2
Bank Mandiri KCP Jakarta Kelapa Gading Square,5,sangat puas dengan pelayanan yang diberikan.,2
