Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kemang Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Plaza,5,"pelayanan bagus, ramah, dan cepat",2
Bank Mandiri KCP Jakarta Kemang Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Plaza,5,ramah semua karyawan dan bos,2
Bank Mandiri KCP Jakarta Kemang Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Plaza,5,pelayanan sangat baik dan cepat,2
Bank Mandiri KCP Jakarta Kemang Plaza,5,"security, teller, customer service semua ramah dan sangat membantu",2
Bank Mandiri KCP Jakarta Kemang Plaza,5,teller ramah ramah apalagi mbak natasya :),2
Bank Mandiri KCP Jakarta Kemang Plaza,5,security ramah & tellernya pun baik cara penyampaianya jelas. membantu banget untuk masyarakat sekitar kemang & bangka,2
Bank Mandiri KCP Jakarta Kemang Plaza,5,pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Kemang Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Plaza,4,pelayanan cukup baik dan memuaskan.,2
Bank Mandiri KCP Jakarta Kemang Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
