Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,"suka disini, tempatnya bagus, rapih,bersih, pelayanan dari semuanya ramah, baik.",2
Bank Mandiri KCP Jakarta Kemang Raya,5,pelayanan cepat&ramah,2
Bank Mandiri KCP Jakarta Kemang Raya,5,"terima kasih mandiri, dan terima kasih buat bapak security nya yang ramah dan membantu customer dengan sangat baik",2
Bank Mandiri KCP Jakarta Kemang Raya,5,pelayanannya ramah dan baik.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,layanan ramah cepat dan tanggap,2
Bank Mandiri KCP Jakarta Kemang Raya,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,nyaman bersih ramah,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,jadi sangat comfort dan baik melayani dan orang yang baik hampir majikan,2
Bank Mandiri KCP Jakarta Kemang Raya,5,cs dira ramah,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,pelayanan nya sempurna,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,"keren pelayanan nya bagus, security nya juga best pokoknya",2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,terima kasih untuk security sudah di bantu ganti kartu di mesin tanpa perlu antri pada hari jumat saat nasabah sedang ramai di arahkan melalui mesin cepat dan praktis..sangat membantu layanan nya.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,"keren sih pelayanan nya bagus, ramah ramah banget staff nya, security nya juga best pokoknya",2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,"putra terima kasih ya sudah cepat sekali melayani penggantian kartu saya dan melayani orang tua saya dengan sabar, thank you cabang kemang",2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,staf yang baik dan dapat diandalkan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,pelayanan sekarang tambah cepat dan akurat,2
Bank Mandiri KCP Jakarta Kemang Raya,5,cabang paling okeh..pelayanan nya mantap,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,5,"pelayanannyaa oke bangett, mulai dari securitynyaa sampee staffnya ramah dan sangat membantu.. sukses selalu mandiri kemang raya",2
Bank Mandiri KCP Jakarta Kemang Raya,5,terimakasih banyak kepada bu lisa sudah membantu membimbing saya cara untuk melakukan aktifin tabungan mandiri payroll,2
Bank Mandiri KCP Jakarta Kemang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemang Raya,1,"saya baru saja pengalaman worst yang pernah dengan yang disebut ""kepala mandiri,"" yang namanya pinca. darah saya direbus begitu banyak sehingga saya merasa terdorong untuk berbagi pengalaman saya. .",0
