Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kemanggisan,5,oke,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan ramah dan sangat membantu customer,2
Bank Mandiri KCP Jakarta Kemanggisan,5,"pelayanan ramah dan cepat, tanggap dalam membantu, satpam, cs, teller. kondisi kantor bersih nyaman, terima kasih mandiri kemanggisan.",2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan nya terbaik,2
Bank Mandiri KCP Jakarta Kemanggisan,5,"pelayanannya ramah, teller dan cs nya baik dan informatif",2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan yang baik dan keramahtamahan,2
Bank Mandiri KCP Jakarta Kemanggisan,5,"pelayanan ramah,teller menjelaskan dengan baik",2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanannya sangat ramah dan cepat pokoknya suka transaksi di bank mandiri kemanggisan top banget sukses selalu,2
Bank Mandiri KCP Jakarta Kemanggisan,5,bagus,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,layanan sangat baik. staf sangat membantu dan baik,2
Bank Mandiri KCP Jakarta Kemanggisan,5,"ramah, baik, cepat",2
Bank Mandiri KCP Jakarta Kemanggisan,5,"great customer service, tempatnya bersih dan nyaman satpam teller dan cs menjelaskan sangat baik",2
Bank Mandiri KCP Jakarta Kemanggisan,5,bikin kartu fisik cepat,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanannya sangat membantu dan ramah,2
Bank Mandiri KCP Jakarta Kemanggisan,5,petugas nya baik dan ramah,2
Bank Mandiri KCP Jakarta Kemanggisan,5,"penyayanan bagous, rama rama, susanaya,",2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan oke dan cepat,2
Bank Mandiri KCP Jakarta Kemanggisan,5,"pelayaannya bagus, cepat dan ramah",2
Bank Mandiri KCP Jakarta Kemanggisan,5,ruangan bersih celer ramah,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat nyaman pelayanan di mandiri,2
Bank Mandiri KCP Jakarta Kemanggisan,5,ramah ramah ya pegawai nya . pokoknya syahdu dan terbaik buat pegawai nya,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat baik,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanannya bagus dan ramah,2
Bank Mandiri KCP Jakarta Kemanggisan,5,baik banget saya puas karena di layani dengan baik,2
Bank Mandiri KCP Jakarta Kemanggisan,5,"mantap pelayanan nya luar biasa di layanin dengan sepenuh hati, terima kasih mandiri kemanggisan",2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat memuaskan pelayanannya dan ramah,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanannya cepat,2
Bank Mandiri KCP Jakarta Kemanggisan,5,baik dan sangat cepat.mantap,2
Bank Mandiri KCP Jakarta Kemanggisan,5,"pelayanan sangat baik, teller mega putri sangat ramah. terima kasih",2
Bank Mandiri KCP Jakarta Kemanggisan,5,"pelayanannya ok, maju terus",2
Bank Mandiri KCP Jakarta Kemanggisan,5,layanan sangat baik,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan terbaik deh,2
Bank Mandiri KCP Jakarta Kemanggisan,5,penanganan ya cepat membantu costumer,2
Bank Mandiri KCP Jakarta Kemanggisan,5,semua ramah-rama dalam pelayanan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,memuaskan,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan sangat ramah dan nyaman,2
Bank Mandiri KCP Jakarta Kemanggisan,5,respon pelayan sangat cepat dan ramah.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,"super service semua staff ok, dari bawah sampai atas.. .dr jaman siapa sampai siapa nyaman bgt, sudah kayak rumah kedua",2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan teller sangat baik,2
Bank Mandiri KCP Jakarta Kemanggisan,5,"pelayanan ramah, suka tukar uang kecil.",2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayannya bagus dan cepat,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan cepat dan petugasnya raamah,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan nya baik dan ramah dan juga cepat,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanannya ramah dan gercep,2
Bank Mandiri KCP Jakarta Kemanggisan,4,pelayanan cukup baik dan memuaskan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan oke,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanannya baik dan ramah..,2
Bank Mandiri KCP Jakarta Kemanggisan,5,terima kasih banyak kak vani super ramah dan cepat,2
Bank Mandiri KCP Jakarta Kemanggisan,5,oke,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan yang baik mbak gelvani sebagai cs sangat membantu,2
Bank Mandiri KCP Jakarta Kemanggisan,5,oke,2
Bank Mandiri KCP Jakarta Kemanggisan,5,"pelayanan yang ramah dan sopan,jos parah deh",2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanannya memuaskan dan ramah,2
Bank Mandiri KCP Jakarta Kemanggisan,5,"jam buka pelayanannya on time, tellernya baik",2
Bank Mandiri KCP Jakarta Kemanggisan,5,oke,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan oke,2
Bank Mandiri KCP Jakarta Kemanggisan,5,"pelayanan nya sangat bagus, teller nya ramah dan baik.",2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Kemanggisan,5,"pelayanan okee, enggak pernah kecewa, mantab",2
Bank Mandiri KCP Jakarta Kemanggisan,5,keren-keren pelayanan dari babak sekuriti sama cs dan teller nya.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,"pelayanannya ramah, cepat, tempatnya nyaman&bersih",2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,wanitae,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,"kemarin memperbaiki atm ketelen, pelayanannya cepat dan ramah thank you!",2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan nomor 1,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,setan-setan yang durhaka itu dimasukkan ke dalam surga yang tinggi di dalamnya.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanannya ramah!,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,untuk pelayanannya sangat bagus dan tempatnya juga rapi,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,tempatnya bagus,2
Bank Mandiri KCP Jakarta Kemanggisan,5,kesini karena mengganti kartu atm yang expired dan meminta rekening koran berstempel dilayani dengan baik dan cepat. cs sangat ramah.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan nya baik dan ramah,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan ok cepat dan nyaman,2
Bank Mandiri KCP Jakarta Kemanggisan,5,"terima kasih untuk pelayana pergantian kartu yang ed. proses cepat, petugas baik",2
Bank Mandiri KCP Jakarta Kemanggisan,5,bagus layannaga,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,keren,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan nya memuaskan,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan teller cepat dan bagus,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,memuaskan pelayanannya..,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,petugas security dan tellernya ramah serta informatif.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan teller ramah!,2
Bank Mandiri KCP Jakarta Kemanggisan,5,terima kasih mbak cs nya ramah,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,"malvina cs nya ramah bgt, jadi pengin ke bank terus",2
Bank Mandiri KCP Jakarta Kemanggisan,5,cs nya malvina baik dan cantik serta cekatan,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan ya bagus banget,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanannya baik,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan baik dan ramah.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,mantap,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan yang ramah dan cepat,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayananya bagus gercep top,2
Bank Mandiri KCP Jakarta Kemanggisan,5,layanan keunggulan .,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,keren sekali,2
Bank Mandiri KCP Jakarta Kemanggisan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kemanggisan,5,"pelayanan enak ,ramah,cepat,tempate bersih.is the best pokok e",2
Bank Mandiri KCP Jakarta Kemanggisan,5,asli ini keren,2
Bank Mandiri KCP Jakarta Kemanggisan,5,pelayanan oke..,2
