Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,1,"zonk banget mau nuker uang, buat pegawai enggak ada info tau-tau sudah tutup pendaftaran. enggak terbuka.",0
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,pelayanan prima,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,bank nya bersih dan petugas nya juga ramah jadi bikin nyaman,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,staff nya ramah dan membantu banget,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,"tempatnya nyaman dan bersih,pelayanan nya cepat dan ramah sekali",2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,"teller & cs baik, ramah. sok far tempatnya rapih, nyaman & bersih. pelayanannya memuaskan.",2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,nice,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,"good service,",2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,"pelayanannya bagus , ramah semua , menunggu pun tidak terasa bosan karena tempatnya nyaman , sukses terus ya",2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,"tempat yang sangat bagus, terutama layanan",2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,ok,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,oke banget,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,ruang perbankan yang bagus.,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,peayananny ramah banget,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,nyaman dan pelayanan terbaik,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,penyayannya baik keamanan maupun sih nya sangat baik dan sangat membantu,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,2,"kecewa banget sama cs nya, sudah datang jauh2, disuruh balik lagi bulan depan.",0
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,2,"cs nya kurang peduli, dulu bagus, sekarang kok pada begutu ya.",0
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,"lingkungan bersih, pelayanan cepat",2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,cabang mandiri dengan pelayanan yang sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,cabang sangat baik dalam melayani dan fasilitas samgat baik,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,permata tersembunyi bank mandiri,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,"pelayanan yang baik, tempat nyaman",2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,pelayanannya cepat tidak antri,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,cabang luas bersih,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,rolla cantik imut tiada tara,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,layanan cepat,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,"luas, bersih, cs nya ramah, cepat, tellernya juga ramah",2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,"cabangnya bagus, bersih, layanan oke",2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,kantor cabang yang keren dan pelayanan yang ramah,2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,"pelayanannya cepet, teller dan csnya sigap semua. keren!!",2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,5,"teler ramah, cekatan, mantap",2
Bank Mandiri KCP Jakarta Kementerian Pekerjaan Umum,1,saya tadak dilayani,0
