Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Krakatau Steel,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,"pegawainya ramah, pelayanannya baik",2
Bank Mandiri KCP Jakarta Krakatau Steel,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,"tempatnya nyaman, staffnya sangat ramah",2
Bank Mandiri KCP Jakarta Krakatau Steel,5,duah untuk pengajuan,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,baik,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,pelayanan cepat & baik,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,bagus,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,satpam nya baik. ganteng. pelayanan karyawan ramah,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,"pelayanan ramah, cepat, sangat memudahkan dan membantu pelanggan dalam bertransaksi",2
Bank Mandiri KCP Jakarta Krakatau Steel,5,"ruangan luas, bersih, adem, , good",2
Bank Mandiri KCP Jakarta Krakatau Steel,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,goodd,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,pelayanan tukar uang rusak dan pembelian emoney cepat dan mudah.,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,"pelayanan sangat baik, tidak ada komplain",2
Bank Mandiri KCP Jakarta Krakatau Steel,5,"pelayanannya cepat, staffnya ramah dan sangat membantu. tempatnya juga sangat nyaman",2
Bank Mandiri KCP Jakarta Krakatau Steel,5,pelayan sangat membatu,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,"pelayanan ok,",2
Bank Mandiri KCP Jakarta Krakatau Steel,5,pelayanan bagus dan cepat,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,pelayanan ramah. security ganteng. baik. cerdas.,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,pelayanan cepat enak tidak bolak balik tks ibu elisa,2
Bank Mandiri KCP Jakarta Krakatau Steel,5,"pelayanan yang sangat ramah, staf yang sangat bersih dan membantu",2
