Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kramat Raya,5,"pelayanan nya okey,menerima semua keluh kesah kekurangan saya",2
Bank Mandiri KCP Jakarta Kramat Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kramat Raya,5,"satpamnya ramah banget , menyapa dengan baik,sopan, ramah pokoknya friendly banget buat anak anak gen saja , top pokoknye",2
Bank Mandiri KCP Jakarta Kramat Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kramat Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kramat Raya,5,mantap,2
Bank Mandiri KCP Jakarta Kramat Raya,5,pelayanan yang sangat ramah banget,2
Bank Mandiri KCP Jakarta Kramat Raya,5,teller sangat ramah dan welcome,2
Bank Mandiri KCP Jakarta Kramat Raya,5,layanan bagus cepat,2
Bank Mandiri KCP Jakarta Kramat Raya,5,pelayanan cepat dan tanggap dalam pembuatan rekening nasabah baru,2
Bank Mandiri KCP Jakarta Kramat Raya,5,the terbaik deh mandiri kramat raya .,2
Bank Mandiri KCP Jakarta Kramat Raya,5,layanan cepat,2
Bank Mandiri KCP Jakarta Kramat Raya,5,ubur-ubur ikan lele bank mandiri kramat raya pelayanannya keren boleh,2
Bank Mandiri KCP Jakarta Kramat Raya,5,mantap pelayanan ramah ramah,2
Bank Mandiri KCP Jakarta Kramat Raya,5,pelayanan sangat cepat dan baik,2
Bank Mandiri KCP Jakarta Kramat Raya,5,"pelayanan cepat,cepet cair,tukar duit juga gampang selalu ada",2
Bank Mandiri KCP Jakarta Kramat Raya,5,"pelayananya memuaskan,baik dan ramah ramah,smuanya security cs teller",2
Bank Mandiri KCP Jakarta Kramat Raya,5,pelayanan ya sangat bagus dan memuaskan,2
Bank Mandiri KCP Jakarta Kramat Raya,5,pelayanan bagus oke mantap,2
Bank Mandiri KCP Jakarta Kramat Raya,5,bagus pelayanannya,2
Bank Mandiri KCP Jakarta Kramat Raya,5,securitynya sangat membantu,2
Bank Mandiri KCP Jakarta Kramat Raya,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Kramat Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kramat Raya,5,pelayanan nya cepat dan baik,2
