Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kramatjati,1,teller lelet antrian panjang yang satu enggak mau buka,0
Bank Mandiri KCP Jakarta Kramatjati,5,pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Kramatjati,5,"terima kasih untuk pelayanan di mandiri kramatjati. cepat, ramah, dan menyenangkan",2
Bank Mandiri KCP Jakarta Kramatjati,5,pelayanannya bagus dan cepat,2
Bank Mandiri KCP Jakarta Kramatjati,5,pelayanannya ramah dan cepat,2
Bank Mandiri KCP Jakarta Kramatjati,5,"pelayanan baik, ramah ,bersih dan wangi",2
Bank Mandiri KCP Jakarta Kramatjati,5,orang nya ramah2,2
Bank Mandiri KCP Jakarta Kramatjati,5,oke,2
Bank Mandiri KCP Jakarta Kramatjati,5,pelayanan cepat dan mudah . pokok nya keren biar bintang yang berbicara,2
Bank Mandiri KCP Jakarta Kramatjati,5,pelayanan sangat cepat securitynya ramah2,2
Bank Mandiri KCP Jakarta Kramatjati,5,cabang nya sangat bagus dan karyawan nya juga baik ramah2 pelayanan sangat memuaskan,2
Bank Mandiri KCP Jakarta Kramatjati,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Kramatjati,5,pelayanan nya baik,2
Bank Mandiri KCP Jakarta Kramatjati,5,tellernya baik cepat sat set,2
Bank Mandiri KCP Jakarta Kramatjati,5,pelayanan nya baik dan sangat membantu,2
Bank Mandiri KCP Jakarta Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kramatjati,5,cukup baik dan untuk pelayanan nya lumayan cepat,2
Bank Mandiri KCP Jakarta Kramatjati,5,pelayannya sangat bagus dan ramah,2
Bank Mandiri KCP Jakarta Kramatjati,5,"pengalaman saya pernah, ketemu pegawai yang baik banget. terima kasih mbak a.p",2
Bank Mandiri KCP Jakarta Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kramatjati,5,pelayanan baik dan cepat tanggap,2
Bank Mandiri KCP Jakarta Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kramatjati,5,pelayanan baik dan pegawainya ramah,2
Bank Mandiri KCP Jakarta Kramatjati,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Kramatjati,5,semua teller nya cepat sat set enggak lelet,2
Bank Mandiri KCP Jakarta Kramatjati,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Kramatjati,5,pelayanan cs bank mandiri sangat membantu dan ramah,2
Bank Mandiri KCP Jakarta Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kramatjati,5,"ramah2 cs nya, cepat juga layaninnya",2
Bank Mandiri KCP Jakarta Kramatjati,5,bagus,2
Bank Mandiri KCP Jakarta Kramatjati,5,bagus,2
Bank Mandiri KCP Jakarta Kramatjati,5,cs dan teller bagus ramah dan baik.,2
Bank Mandiri KCP Jakarta Kramatjati,5,ramah pegawainya,2
Bank Mandiri KCP Jakarta Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kramatjati,5,puass banget saya pemula bnrbnr di dramingin banya di jawab dendar pelayananananan nya bagus banget banget banget suka jrng banget bank yang mulai sampai syaa langung bukaogle maps gagarar bnara bnrbnr playa ya masa masa mbak sudah bantua,2
Bank Mandiri KCP Jakarta Kramatjati,5,"pelatanannya ramah dan cepat, terima kasih",2
Bank Mandiri KCP Jakarta Kramatjati,5,terimakaliy teller ibu novianti dan security bapak gessa sudah membantu saya dengan sigap dan cekatan..,2
