Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Krekot,5,"ruangan luas, nyaman dan bersih",2
Bank Mandiri KCP Jakarta Krekot,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Krekot,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Krekot,5,pelayanan nya ok.. mas sama mbak nya ramah2,2
Bank Mandiri KCP Jakarta Krekot,5,"ruang nya bersih nyaman adem, pelayanan sangat amat ramah dan nyaman",2
Bank Mandiri KCP Jakarta Krekot,5,"pelayanan sangat ramah , cepat dan nyaman",2
Bank Mandiri KCP Jakarta Krekot,5,bersih nyaman,2
Bank Mandiri KCP Jakarta Krekot,5,"pelayanannya bagus, cabangnya bersih",2
Bank Mandiri KCP Jakarta Krekot,5,pelayanan ramah banget enggak sia sia datang ke cabang ini permasalahan kartu saya saja di berikan solusi yang baik mamtap,2
Bank Mandiri KCP Jakarta Krekot,5,mantap securitynya sigap sigap dan kreatif,2
Bank Mandiri KCP Jakarta Krekot,5,suka sama pelayanan layanan pelanggan disini cepat,2
Bank Mandiri KCP Jakarta Krekot,5,"pernah tukar uang untuk lebaran disini. pegawainya baik baik banget, ramah, dibantu untuk diarahkan. pelayanannya juga oke. tempat bersih dan ademm, ruang tunggunya juga oke.",2
Bank Mandiri KCP Jakarta Krekot,5,"pelayanan bagus,ruangan nyaman",2
Bank Mandiri KCP Jakarta Krekot,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Krekot,1,"tolong lebih profesional melayani nasabah, jam layanan kan seharusnya mulai dari 8:00. tapi malah sampai jam 8:07 saja tadi masih briefing . untungnya di seberang ada bank mandiri lain , bisa jalan kaki kesana. sia banget datang jam 8 kesini, dari awal tau begitu mending ke mandiri yang pasar baru aja, lebih bagus+dah buka dari jam 8.",0
