Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kuningan City,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Kuningan City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kuningan City,4,kakak mau tanya adakah pegawai yang bernama meta dwi permata sari,2
Bank Mandiri KCP Jakarta Kuningan City,5,pelayanan bagus dan dekat dengan kantor saya.,2
Bank Mandiri KCP Jakarta Kuningan City,5,"satpamnya baik bangett, dia jelasin untuk buka rekening baru dan ramah. terus customer service nya juga baik, ramah dan senyum kalau melayani. enggak judess. semangat ya gaiis!",2
Bank Mandiri KCP Jakarta Kuningan City,5,layanan yang sangat baik,2
Bank Mandiri KCP Jakarta Kuningan City,5,pelayanannya bagus dan nyaman,2
Bank Mandiri KCP Jakarta Kuningan City,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Kuningan City,5,"bintang 5 buat mbak risti, cc telp 140, brati topup pulsa.",2
Bank Mandiri KCP Jakarta Kuningan City,5,sukses selalu buat bank mandiri kuningan city,2
Bank Mandiri KCP Jakarta Kuningan City,5,"terimakasih pelayanan nya baik,",2
Bank Mandiri KCP Jakarta Kuningan City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kuningan City,5,pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Kuningan City,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kuningan City,5,layanan terbaik,2
Bank Mandiri KCP Jakarta Kuningan City,5,"pelayanan bagus,",2
Bank Mandiri KCP Jakarta Kuningan City,5,"pelayanan teler bagus dan cekatan, cs ramah dan profesional",2
Bank Mandiri KCP Jakarta Kuningan City,5,"pelayanan ramah, cepat tanggap, lingkungn bersih,",2
Bank Mandiri KCP Jakarta Kuningan City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kuningan City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kuningan City,5,"kantor layanan bersih, petugas memberikan layanan cukup cepat, satpam membantu mengarahkan form.",2
Bank Mandiri KCP Jakarta Kuningan City,1,"costumer service tidak solutif dan lama ada aplikasi identitas kependudukan dari kementerian dalam negeri, tapi tidak dianggap dan tidak update dengan sistem tersebut..",0
Bank Mandiri KCP Jakarta Kuningan City,5,"cabang nya rapi dan bersih,pelayanan nya ramah",2
Bank Mandiri KCP Jakarta Kuningan City,5,"pelayanan nya baguss, karyawan nya ramah dan membantu",2
Bank Mandiri KCP Jakarta Kuningan City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Kuningan City,5,good,2
Bank Mandiri KCP Jakarta Kuningan City,4,"pengalaman pasang thler bank dan cs di kuningan city . pegawai nya ramah baik "" semua mantap",2
Bank Mandiri KCP Jakarta Kuningan City,5,bank staff nya humble dan sangat membantu.,2
Bank Mandiri KCP Jakarta Kuningan City,1,"untuk membuat tabungan ribet, apk juga peraturan nya enggak simpel harus meminta ttd cap basah lah, apalah. kalah jauh sama baca",0
Bank Mandiri KCP Jakarta Kuningan City,5,sangat puas dengan pelayanan yang diberikan.,2
