Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Lapangan Ros,5,penjelasan yang baik ramah sangat puas dengan pelayananya,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,hari sabtu besok buka enggak ya?,2
Bank Mandiri KCP Jakarta Lapangan Ros,3,"pengalaman biasa saja, tidak terlalu buruk tapi juga tidak istimewa.",1
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,teller nya ramah dan baik,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,"teller dan cs nya baik dan ramah, pelayanannya juga sangat bagus",2
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,telernya ramah ramah juga cantik cantik,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,bagus pelayanannya dan cukup cepat,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,"pelayananya bagus, baik, dan cepat menangani keperluan nasabah",2
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,keamanan yang luar biasa .,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,pelayanan baik. staf ramah. terima kasih bank mandiri cabang lapangan ros,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lapangan Ros,5,sangat puas dengan pelayanan yang diberikan.,2
