Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Latumeten,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Latumeten,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Latumeten,5,ramah cepat,2
Bank Mandiri KCP Jakarta Latumeten,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Latumeten,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Latumeten,5,pelayanan bagus teller ramah pekerjaan yang baik,2
Bank Mandiri KCP Jakarta Latumeten,5,pelayanan sangat baik saya suka,2
Bank Mandiri KCP Jakarta Latumeten,5,pelayanan baik dan tempatnya nyaman,2
Bank Mandiri KCP Jakarta Latumeten,5,"pelayanan nya mantap, cs mbak bianca nya ramah banget",2
Bank Mandiri KCP Jakarta Latumeten,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Latumeten,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Latumeten,5,bagus sekali pelayanannya..,2
Bank Mandiri KCP Jakarta Latumeten,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Latumeten,5,"ramah,dan cepat tanggap",2
Bank Mandiri KCP Jakarta Latumeten,5,rama tamah,2
Bank Mandiri KCP Jakarta Latumeten,5,"pelayanannya sangat bagus.&lt;/font&gt; &lt;font color=""#f00""&gt;stafnya sangat membantu!&lt;/font&gt; &lt;font color=""#f00""&gt;terima kak banyak bank mandiri latumeten.&lt;/font&gt; &lt;font color=""#f00""&gt;- .",2
Bank Mandiri KCP Jakarta Latumeten,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Latumeten,5,top security nya ganteng-ganteng,2
Bank Mandiri KCP Jakarta Latumeten,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Latumeten,5,pelayanan nya ramah,2
Bank Mandiri KCP Jakarta Latumeten,5,"pelayanannya cukup baik, karyawannya sangat ramah, penjelasan yang diberikan juga jelas.. sukses terus dan semakin maju",2
Bank Mandiri KCP Jakarta Latumeten,5,"pelangyanan ramah-rama semua, tuba banget smaa ditempat lain",2
Bank Mandiri KCP Jakarta Latumeten,5,"pelayanannya bagus, cepat. cs, teller, dan securitynya juga ramah-ramah",2
Bank Mandiri KCP Jakarta Latumeten,5,"teller nya baik,ramah dan cepat",2
Bank Mandiri KCP Jakarta Latumeten,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Latumeten,5,ramah bersih dan nyaman,2
Bank Mandiri KCP Jakarta Latumeten,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Latumeten,5,"pelayanan ramah, adem, keren pokoknya",2
Bank Mandiri KCP Jakarta Latumeten,5,sangat puas dengan pelayanan yang diberikan.,2
