Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Lebak Bulus,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,mas2 tellernya ramah dan cekatan,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,"pelayanan baik dan cepat, teller ramah dan cekatan",2
Bank Mandiri KCP Jakarta Lebak Bulus,5,pelayanan nya cepat,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,"baik ,,ramah ,,detail ,,semuanya di jelasin aterbaik lah pokoknya",2
Bank Mandiri KCP Jakarta Lebak Bulus,5,pelayanannya ramahh banget,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,"pelayanan sangat ramah, selalu di bantu dengan baik. terimakasih bank mandiri lebak bulus",2
Bank Mandiri KCP Jakarta Lebak Bulus,5,okelah,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,sangat membantu pelayananya cepat dan grecep,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,pelayanan cs dan tellernya cepat,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,pelayanan nya cepat,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,pelayanan nya ramah dan efisien banget,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lebak Bulus,2,"baru kali ini mandiri kayak begini , mau setor tunai sudah antri lama tiba-tiba disrobot ibu"" teller cuma diam saja , mana tarik tunai lebih dari 15 juta terus meminta amplop 7, enggak profesional harusnya sesuai antrian bisa mengingatkan tellernya",0
Bank Mandiri KCP Jakarta Lebak Bulus,1,pelayanan sangat jelek.,0
Bank Mandiri KCP Jakarta Lebak Bulus,5,"pelayanan sangat baik, terimakasih mbak-mbak teller yang ramah dan cekatan",2
Bank Mandiri KCP Jakarta Lebak Bulus,5,"pelayanan baik cepat, cs ramah dan cekatan terimakasih bank mandiri lebak bulus",2
Bank Mandiri KCP Jakarta Lebak Bulus,5,"tempatnya nyaman, dari satpam sampai stafnya ramah. terimakasih telah membantu",2
Bank Mandiri KCP Jakarta Lebak Bulus,5,"pelayanan nya bagus, mbak-mbak tellernya baik dan ramah yang belum buat tabungan mandiri segera kesini",2
Bank Mandiri KCP Jakarta Lebak Bulus,5,tempatnya nyama pelayanan yang di berikan sangat ramah,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,"ok sip, pelayanan bagus dan cepat",2
Bank Mandiri KCP Jakarta Lebak Bulus,5,"pelayanan bagus, cs ramah alhamdulillah enggak pakai lama",2
Bank Mandiri KCP Jakarta Lebak Bulus,5,pelayanan tellernya ramah dan cepat,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,pelayanan cepat dan grecep,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,pelayanan cepat dan oke,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,pelayanan dan transaksi nya cepat,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,pelayanan cepat dan mudah untuk ganti kartu,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,mbak-mbak tellernya ramah dan pelayanan cepat,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,teller sama cs nya ramah sekali jadi nyaman bertransaksi,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,"pelayanan sangat baik, teller dah cs nya ramah sangat membatu",2
Bank Mandiri KCP Jakarta Lebak Bulus,5,pelayanannya sangat ramah,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lebak Bulus,5,sangat puas dengan pelayanan yang diberikan.,2
