Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Lenteng Agung,5,bagus dan pelayanan ya ramah teller cs security dan tempatnya bersih nyaman,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,pelayanan bagus untuk front liner ramah semua terutama teller cs dan security baik gedungnya rapi bersih wangi top,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,terbaik pelayanannya,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,bank mulai buka kapan ya min,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,"pelayanan cepat, staff dan satpamnya juga ramahh",2
Bank Mandiri KCP Jakarta Lenteng Agung,5,pelayanan cepat..tempatnya bersih,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,good,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,"pelayanan baik petugas, maupun pimpinan cukup ramah, cepat, akurat, tepat waktu",2
Bank Mandiri KCP Jakarta Lenteng Agung,5,"the best cabang mandiri yang pernah aku datengin sih. cs ramah, security ramah, antrean cepat, bersih, ac dingin, antrean ramai itu di teller kalau jam siang. for all, bintang 5+ pokoknya. good job!",2
Bank Mandiri KCP Jakarta Lenteng Agung,2,"deposito bulanan jatuh tempo tanggal 13, saya datang untuk cairkan sebagian ke rek.mandiri juga pada tanggal 14 pagi. katanya harus finalti 5% wala wala ini bank mau rampok?? service karyawannya tidak memuaskan.",0
Bank Mandiri KCP Jakarta Lenteng Agung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lenteng Agung,3,"pengalaman biasa saja, tidak terlalu buruk tapi juga tidak istimewa.",1
Bank Mandiri KCP Jakarta Lenteng Agung,5,sangat ramah dan proses cepat,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,"pelayanan bagus, ramah banget",2
Bank Mandiri KCP Jakarta Lenteng Agung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,cepat dan tanggap,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,sekuriti nya rama dan cs juga rama sama teler nya tempat nya bersih,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,layanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Lenteng Agung,4,pelayanan cukup baik dan memuaskan.,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,cukup baik pelayanannya,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,parkir nya enak,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,"tempat parkiran luas, yang utama dekat dari rumah",2
Bank Mandiri KCP Jakarta Lenteng Agung,5,"pelayanan memuaskan, pegawai nya ramah ramah",2
Bank Mandiri KCP Jakarta Lenteng Agung,5,"pelayanan nya baik, super ramah, cepat dan penjelasan nya detail",2
Bank Mandiri KCP Jakarta Lenteng Agung,5,tempatnya bersih. pelayanan customer service nya baik.pak satpam nya ramah dan membantu,2
Bank Mandiri KCP Jakarta Lenteng Agung,5,pelayanan ramah + satpamnya yang bernama rangga saputra ganteng,2
