Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Lindeteves,5,terimakasih,2
Bank Mandiri KCP Jakarta Lindeteves,5,pelayanan yang sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Lindeteves,5,"pelayanan ok ,cs dan security ramah dan sangat membantu",2
Bank Mandiri KCP Jakarta Lindeteves,5,pelayanan oke terima kasih bank mandiri,2
Bank Mandiri KCP Jakarta Lindeteves,5,pelayanan oke banget. terima kasih bank mandiri,2
Bank Mandiri KCP Jakarta Lindeteves,5,pelanyan kcp jakarta lindeteves sangat cepat,2
Bank Mandiri KCP Jakarta Lindeteves,5,terima kasih bank mandiri lindeteves sudah membantu saya pembukaan rekening secara online via livin by mandiri. prosesnya mudah dan cepat. sukses selalu bank mandiri.,2
Bank Mandiri KCP Jakarta Lindeteves,5,pelayanannya baik teller dan cs nya baik-baik,2
Bank Mandiri KCP Jakarta Lindeteves,5,"pelayanan oke dan ramah, nyaman dan tempatnya bersih",2
Bank Mandiri KCP Jakarta Lindeteves,5,"pelayanan baik, ramah dan memuaskan teller nya ramah dan cepat, securitynya sopan",2
Bank Mandiri KCP Jakarta Lindeteves,5,"pelayanan oke dan ramah, tempatnya bersih, nyaman, dan wangi securitynya sopan",2
Bank Mandiri KCP Jakarta Lindeteves,5,pelayanan tellernya baik cepat tanggap kebersihan cabang juga baik wangi dan bersih semua pegawainya ramah dan sangat membantu terimakasih,2
Bank Mandiri KCP Jakarta Lindeteves,5,"saya lebih suka transaksi ke mandiri lindeteves karena semua pegawai nya ramah dan sopan juga pelayananan cepat,,banking hall bersih serta wangi",2
Bank Mandiri KCP Jakarta Lindeteves,5,pelayanan baik dan ramah pelayanan teller nya cepat dan teliti semua pegawainya sopan,2
Bank Mandiri KCP Jakarta Lindeteves,5,terima kasih mandiri lindeves bank,2
Bank Mandiri KCP Jakarta Lindeteves,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lindeteves,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lindeteves,5,cabang nya bersih pelayanan baik,2
Bank Mandiri KCP Jakarta Lindeteves,5,pelayanan nya bagus & ramah ramah,2
Bank Mandiri KCP Jakarta Lindeteves,5,"terima kasih, pelayanannya sangat bagus, call centernya ramah, rapi dan sopan",2
Bank Mandiri KCP Jakarta Lindeteves,5,pelayanan nya oke cepat ramah,2
Bank Mandiri KCP Jakarta Lindeteves,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Lindeteves,5,"terima kasih untuk pelayanan baiknya di cs, buka rekening cepat",2
