Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta M.T. Haryono,3,"pengalaman yang berbeda dari cabang bank mandiri lainnya. pelayanan lambat, padahal counter pelayanan banyak.",1
Bank Mandiri KCP Jakarta M.T. Haryono,5,mandiri mt haryono mantap bagus parkiran luas,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,mantap pelayanannya.,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,bintang 5,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,"cs nya ramah, pelayanannya best. cabangnya juga nyaman, sudah begitu parkirannya juga luas",2
Bank Mandiri KCP Jakarta M.T. Haryono,5,alhamdulillah pelayanan memuaskan dan lokasi strategis,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,pelayanannya cepat dan bagus sekali terimakasih,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,di cabang ini pelayanan baik terus enak banget bersih rapi dan parkiran mobilnya luas,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,nice,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,"pelayanannya bagus, cepat, ramah sekali mbak fitri wulandary, suka",2
Bank Mandiri KCP Jakarta M.T. Haryono,5,"cs nya pelayanan baik, ramah",2
Bank Mandiri KCP Jakarta M.T. Haryono,5,pelayanan terbakik deh posoknya sangat membantu unsuk nasabah,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,rm ukmc nya ganteng banget,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,"pelayannya sangat memuasakan skali, staff perbankanya juga baik & ramah banget.",2
Bank Mandiri KCP Jakarta M.T. Haryono,5,"pelayanan mantap , setor berapa saja bisa . top markotop deh . satpam nya sangat membantu nasabah .",2
Bank Mandiri KCP Jakarta M.T. Haryono,5,"strategis, dekat spbu, tempat kuliner, kopi pun ada disekitar lokasi bank tsb, terutama mesjid bagi yang istikamah sholat berjamaah dan mesin atm nya bisa tarik dan setor tunai, semoga pelayanan dan fasilitasnya tetap dipertahankan, ditingkatkan",2
Bank Mandiri KCP Jakarta M.T. Haryono,5,"pelayanan nya cepat tanggap, cs ramah dan membantu",2
Bank Mandiri KCP Jakarta M.T. Haryono,5,pelayanan oke bgtt!!,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,bagus,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,"cabang nyaman dan bersih, pegawainya ramah2",2
Bank Mandiri KCP Jakarta M.T. Haryono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,keren mbak kharim,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,oke banget buat segala pelayanannyaa,2
Bank Mandiri KCP Jakarta M.T. Haryono,1,"tidak usah ada nomor antrian jika tidak tertib dalam nomor antrian.. ini bank untuk semua nasabah bukan untuk 1 gedung kenapa harus dibeda""kan seperti sudah direncanakan dari pihak security ataupun staff yang bertugas.",0
Bank Mandiri KCP Jakarta M.T. Haryono,1,"pelayanan teller cewek tidak sopan kepada nasabah,masa menyolot sama nasabah,emang lagi ada masala apaan",0
Bank Mandiri KCP Jakarta M.T. Haryono,5,"layanan yang sangat baik, terutama petugas bank ny. eka wulandari.",2
Bank Mandiri KCP Jakarta M.T. Haryono,5,pelayanan dengan mbak kharim cs bank mandiri sangat cepat dan mbaknya ramah,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,pelayanan dengan mbak kharim sangat cepat dan ramah.,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta M.T. Haryono,5,"baik kepada ibu eka wulandari pelayaan ramah dan asik, di bantu dengan mumpura pekerjaan yang baik selalu",2
