Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Mabes Polri,5,terbaik,2
Bank Mandiri KCP Jakarta Mabes Polri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mabes Polri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mabes Polri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mabes Polri,5,mandiri cabang mabes good job ramah semua stafnya..,2
Bank Mandiri KCP Jakarta Mabes Polri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mabes Polri,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Mabes Polri,5,tempatnya nyaman dan pelayanannya ramah keren,2
Bank Mandiri KCP Jakarta Mabes Polri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mabes Polri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mabes Polri,5,sangat puas dengan pelayanan yang diberikan.,2
