Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Mal Ciputra,5,bagus pelayan ramah,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,pelayanan nya bagus banget semua karyawan ramah,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,"tempatnya bagus, pelayanannya juga baik",2
Bank Mandiri KCP Jakarta Mal Ciputra,5,pelayanan nya luar biasa dan sangat cepat,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,"stafnya oke banget, ganteng, baik,ramah puas deh",2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,bagus,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,pengalaman yang baik,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,"salesnya oke, cs dan tellernya ramah.",2
Bank Mandiri KCP Jakarta Mal Ciputra,5,bank nya oke pelayanan nya bagus sales nya ok,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,"cabangnya bagus, bersih, frontliner okee",2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,terimakasih atas kunjungan nya,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,"pelayanan nya bagus, staff nya ramah ramahh banget",2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,"pelayanannya bagus banget, pegawainya juga ramah"".. apalagi buat aku yang panikan dan lumayan lemot",2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,"mandiri memang pelayanannya oke, di cabang ini semua bekerja sepenuh hati jadi customer merasa nyaman",2
Bank Mandiri KCP Jakarta Mal Ciputra,5,"karyawan nya ramah , servise ke customer nya bagus keren, suasananya nyaman, bersih",2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,pelayanannya baguz,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,pelayanan nya sangat ramah,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,customer service nya sangat membantu dan jelas dalam menjelaskan,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,"pelayanannya ramah securitynya dan customer service juga, tempatnya nyaman,, terimakasih ya mandiri citraland",2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,"luar biasa, staff ramah dan friendly.. sangat membantu",2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,very good,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,untuk pelayanan customer service nya sangat responsif,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,luar biasa,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,mantap,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,"pelayanan cepat, ramah",2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,ramah,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,"pelayanan bagus banget, orangnya ramah ramah best",2
Bank Mandiri KCP Jakarta Mal Ciputra,5,"tellernya ramah pelayanan cepat, satpamnya humble dan cs nya ramah",2
Bank Mandiri KCP Jakarta Mal Ciputra,5,pelayanan sangat baik dan memuaskan,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,orangnya sangat ramah,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,pelayanan ramah sekali,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,tempat bersih pelayanan nya ok banget deh security nya asik,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,"satpamnya humble, ramah, baik, murah senyum bagus deh pokoknya good job!",2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,customer service dan teller sangat ramah dan membantu,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,bagus,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,"sangat amat humble, informatif. pelayanan pun cepat. thx",2
Bank Mandiri KCP Jakarta Mal Ciputra,5,"pelayanan nya bagus, cepat dan ramah",2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,pelayanan sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,layanan ok,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,mantap mandiri mall ciputra. pelayanan nya sangat baik,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,pelayanan bagus dan memuaskan,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,pelayanan sangat ramah dan cepat,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,mantap diproses dengan baik,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,"pelayanan nya bagus, karyawan nya ramah sekali",2
Bank Mandiri KCP Jakarta Mal Ciputra,5,nice,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,service nya bagus dan cepat,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,mbak filza ramah,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,"teller dan custumer service ramah, dan jelas saat memberikan informasi",2
Bank Mandiri KCP Jakarta Mal Ciputra,5,pelayanan oke banget,2
Bank Mandiri KCP Jakarta Mal Ciputra,5,tellernya ramah n baik,2
