Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,terbaik,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,"pelayanan sangat bagus untuk security menjelaskan secara detail untuk ganti kartu diarahkan melalui aplikasi livin by mandiri ,terima kasih pertahankan servicenya..good is the best",2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,4,"thank you mbak whitry sudah ya, dan ramah",2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,1,"first time ke mandiri mall kelapa gading, pelayanan kurang, security memprioritaskan orang orang secara penampilan lebih rapih, lebih mewah, dan saya sudah lama banget menunggu, tapi seperti tidak di pedulikan, staff bank nya pun sama seperti itu, kalah jauh dengan baca yang selalu menyapa dan memperlakukan nasabah tanpa pandang bulu",0
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,"pelayanan cepat, ramah, dan baik",2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,"pelayanany bagus customer service kak gita baik banget ramah,tellernya kak ratna baik dan ramah juga dan buat bpk securityy pak syarifudin terimakasih pak sudah membantu dan memberikan pelayanan dengan baik dan ramah",2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,terima kasih,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,pelayanan baik dan ramah,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,sangat membantu untuk mempergunakan mb.,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,tellernya sangat ramah dan sangat kooperatif. suasananya oke. pelayanannya express..,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,pelayanan oke,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,terima kasih banyak plk satpam syarifudin sehat selalu ya,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,"terima kasih banyak pak security akhmad syarifudin syah, atas bantuannya dalam menjelaskan tahap pembukaan rekening bank mandiri, semoga sehat selalu ya pak. amin",2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,layanan cepat,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,teller nya ramah. penjelasan detail n helpingl bgt. tq,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,terima kasih atas pelayanannya pak security atas nama akhmad syarifudin sehat selalu dijelasin detail pertahankan,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,terima kasih banyak atas pelayanannya pak syarifudin tetap semangat ya,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,cepat memberikan solusi dengan baik,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,pelayana nya terbaik,2
Bank Mandiri KCP Jakarta Mal Kelapa Gading,5,sangat puas dengan pelayanan yang diberikan.,2
