Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,"saya merasa terbantu disini.. pelayanan nya cepat banget, di bantuin cs hania top bangett, mana tempatnya nyaman sekali.. kalau ada bintang 10 saya kasih deh",2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,terbaik,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,"pelayanan prima, nyaman, waktu pelayanan cepat",2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,"pelayanan sangat memuaskan, tidak bertele2, bagus dan kalo bisa dipertahankan ya",2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,oke banget,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,keren banget pelayanannya di mandiri taman anggrek,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,"pelayanan nya bagus, sangat puas, tempat sangat nyaman",2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,nyaman tempatnya,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,good,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,bagus. bank digital,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,pelayanan digital. nyaman dan aman,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,nyaman,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,"pelayanan nya cepat banget, thankyou mass ilham sudah bantu",2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,ramah dan cepat,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,terima kasih ya scurity nya sudah bantu buka rekening online,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,bagus cepat,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,"pelayanan ramah, luwes ,supel mantap banget",2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,"tempat strategi memudahkan pengunjung,ketika bertransaksi",2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,keren,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,"pelayanannya sangat memuaskan,cepat,staff nya ramah ramah juga,sangat membantu",2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,pelayanan nya bagus,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,pelayanan sangat bagus.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,security nya sangat membantu daftar livin by mandiri,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,karyawan nya ramah ramah,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,terima kasih!,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,pelayan sangat ramah dan respon sangat cepat,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,pelayanan bagus banget,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,bank mandiri ya bagus pelayanan ya cepat untuk setor dan ganti kartu,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,"layanan cepat, staf nya ramah dan masalah memecahkan .",2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,"pelayanan disini sangat memuaskan, cepat dan semua nya ramah"" dari mulai security sampai pelayanan proses perbankan nya. terima kasih",2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,"service nya terbaik, oke.",2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,baik dan ramah,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,mantab pembuatan rekening dan qr dengan mas erwin,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat terbaik pelayanan tellernya,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,bank mandiri ya good dan karyawan good,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,mantab pelayanannya,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,"sangat nyaman, layanan yang hebat pengalaman perbankan terbaik!",2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,security ramah pas datang disambut,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,"pelayanannya bagus dan cepat, ada mesin cs, jadi sangat membantu",2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,bagus layanan ya,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,"pelayanan bagus ramah pol semua staf dan karyawan , ruangannya nyaman bersih bagus estetik.",2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,security nya ramah dan sigap,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,bagus!,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,"terbaik, teller & security ramah bngt.",2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,amanah sekali,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,service nya cepat dan ramah sekali.. terimakasih..,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,"baik, sopan memuaskan",2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,mantap,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,bagos,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,cabang bagus ada mesin setor tunai dan cetak kartu,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,terima kasih sudah membatu buatkan atm saya dengan baik di lancar,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,mandiri oke,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,pelayanan nya keren sudah digital,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat membantu semua pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,layanan nya bagus ganti kartu cepat dibantu pak marjan security nya,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sudah di bantu dengan baik,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,"pelayanan cabang super cepat, pegawai ramah dan cekatan",2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,terimakasih sudaah membantuu membuka tabungan,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,layanan digital transaksi sampel. ada mesin ganti kartu juga,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,bagus ada mesin ganti kartunya,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,tks sudah dibantu ganti kartu di mesin oleh pak security nya,2
Bank Mandiri KCP Jakarta Mal Taman Anggrek,5,sangat puas dengan pelayanan yang diberikan.,2
