Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Mall Central Park,5,mantab pelayanannya.. atm bisa cetak kartu,2
Bank Mandiri KCP Jakarta Mall Central Park,5,"mantap pelayananya bagus, mesinya sangat membantu bisa ganti kartu tanpa ke cabang",2
Bank Mandiri KCP Jakarta Mall Central Park,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mall Central Park,5,satpam nya baik dan karyawati nya cantik. dan manis enak di pandang nya,2
Bank Mandiri KCP Jakarta Mall Central Park,5,"nyaman tempat nya,cepat pelayanannya",2
Bank Mandiri KCP Jakarta Mall Central Park,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mall Central Park,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Mall Central Park,5,fasilitas dan pelayanan ok,2
Bank Mandiri KCP Jakarta Mall Central Park,5,"staff ramah, ganti kartu expired cepat lewat mesin tanpa antri",2
Bank Mandiri KCP Jakarta Mall Central Park,5,pelayanan bagus csm mesin sangat membatu enggak harus ke kantor cabang,2
Bank Mandiri KCP Jakarta Mall Central Park,5,bagus,2
Bank Mandiri KCP Jakarta Mall Central Park,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mall Central Park,5,"bagus ramah ramah satpam nya, mantap",2
Bank Mandiri KCP Jakarta Mall Central Park,5,pelayanan ramah,2
Bank Mandiri KCP Jakarta Mall Central Park,5,pelayanan nya ramah dan mengedukasi dengan baik,2
Bank Mandiri KCP Jakarta Mall Central Park,5,"mesin crm nya berfungsi dengan baik, cabang nya nyaman dan bersih",2
Bank Mandiri KCP Jakarta Mall Central Park,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mall Central Park,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mall Central Park,5,ok,2
Bank Mandiri KCP Jakarta Mall Central Park,5,penayanan oc .. gb sama keamanan .. rekomen,2
Bank Mandiri KCP Jakarta Mall Central Park,5,pelayanan ok..ramah semua,2
Bank Mandiri KCP Jakarta Mall Central Park,5,mantap juga sapamnya,2
Bank Mandiri KCP Jakarta Mall Central Park,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mall Central Park,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mall Central Park,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mall Central Park,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mall Central Park,5,sangat puas dengan pelayanan yang diberikan.,2
