Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Mampang,5,pelayanan nya terbaik,2
Bank Mandiri KCP Jakarta Mampang,5,pembukaan rekening cepat dan mudah. dibantu oleh cs mandiri mbak lulu,2
Bank Mandiri KCP Jakarta Mampang,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Mampang,5,pelayanan yang cepat dan ramah ramah cs ruang wangi dan bersih,2
Bank Mandiri KCP Jakarta Mampang,5,"baik, cepat, bersih, nyaman dan dilayani dengan sepenuh hati",2
Bank Mandiri KCP Jakarta Mampang,5,alhamdulillah bansos aman,2
Bank Mandiri KCP Jakarta Mampang,5,alhamdulillah unt pelayan baik .tetap dpertahan,2
Bank Mandiri KCP Jakarta Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mampang,5,selama jadi nasabah bank madiri kcp mampang saya merasakan pelayan yang sangat baik.,2
Bank Mandiri KCP Jakarta Mampang,5,"tempatnya nyaman, karyawan nya ramah, tempatnya bersih",2
Bank Mandiri KCP Jakarta Mampang,5,"pelayanan memuaskan, ruangan nya nyaman dan karyawan nya baik",2
Bank Mandiri KCP Jakarta Mampang,5,cs ramah membantu melayani penyaluran bantuan,2
Bank Mandiri KCP Jakarta Mampang,5,"pelayanan sangat ramah, sangat membantu",2
Bank Mandiri KCP Jakarta Mampang,5,alhamdulillah urus bansos yatim lancar cs nya baik cantik ramah,2
Bank Mandiri KCP Jakarta Mampang,5,cs sangat ramah,2
Bank Mandiri KCP Jakarta Mampang,5,pengambilan bansos yang mudah. terimakasih. cs nya ramah ramah,2
Bank Mandiri KCP Jakarta Mampang,5,membantu penyaluran dana bantuan,2
Bank Mandiri KCP Jakarta Mampang,5,pengalaman yang bagus!,2
Bank Mandiri KCP Jakarta Mampang,5,"pelayanan top, lokasi strategis, parkiran luas",2
Bank Mandiri KCP Jakarta Mampang,5,"lokasi strategis, pelayanan ramah, mantap!",2
Bank Mandiri KCP Jakarta Mampang,5,"lokasi yang strategis di seberang jalan mampang, pelayanan front liner sangat ramah, cepat, dan enggak ribet. parkiran mobil dan motor yang cukup",2
Bank Mandiri KCP Jakarta Mampang,5,pelayanan bagus dan cepat.,2
Bank Mandiri KCP Jakarta Mampang,5,terbaik untuk layanan,2
Bank Mandiri KCP Jakarta Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mampang,5,bagikan pengalaman anda tentang tempat ini,2
Bank Mandiri KCP Jakarta Mampang,3,"pengalaman biasa saja, tidak terlalu buruk tapi juga tidak istimewa.",1
Bank Mandiri KCP Jakarta Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mampang,5,"kakuk-kataknya ramah-rama dan baik hati, datang lagi ya kakuk ke madas .",2
Bank Mandiri KCP Jakarta Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mampang,5,"bank mandiri mampang tempat nya nyaman, kakak nya ramah, dan baik hati. happy",2
Bank Mandiri KCP Jakarta Mampang,5,bagus banget,2
Bank Mandiri KCP Jakarta Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mampang,5,sangat puas dengan pelayanan yang diberikan.,2
